sep=; 
"barrio";"dir_url";"nombre";"precio";"precio_uf";"codigo";"fecha_publicacion";"dorm";"banos";"sup";"sup_total";"ambientes";"estacionamientos";"descripcion";"vende";"longitud";"latitud";"fecha_consulta";"venta_arriendo";"tipo_vivienda";"barrio_portal"
"coquimbo-coquimbo";"https://www.portalinmobiliario.com/MLC-536528153-jose-joaquin-perez-3448-coquimbo-chile-_JM#position=1&type=item&tracking_id=cc4b9b81-366f-40a8-84b5-306d01fe8b78";"José Joaquín Pérez 3448, Coquimbo, Chile, Peñuelas";180622323;6300;NA;2020-07-13;6;3;140;330;NA;2;"A solo pasos de la playa de Peñuelas, se emplaza esta versátil propiedad con características comerciales y habitacionales. Ubicada en Avenida José Joaquín Pérez a la altura de Gerónimo Méndez, en un barrio de gran plusvalía, en un terreno de  330 metros y una construcción de 140 metros cuadrados La construcción comercial nos recibe en la entrada con un hermoso camino de Piedra, con una mezcla de naturaleza y cuarzo, adornado con un muro de piedra.  Cuenta con sala de espera, baño para discapacitado y box de atención.Este espacio también puede ser utilizado como oficina u otro comercio. La construcción habitacional, posee entrada absolutamente independiente. En su primer piso tiene un living comedor amplio, ideal para reuniones sociales. Un hermoso y amplio patio, con 4 Árboles frutales, Un peral, un damasco y un pomelo, además de un Espino.  El patio cuenta con terraza para compartir hermosas tardes.Además, cuenta con una sala de estar, y 2 espacios que pueden ser habilitados como estudios, oficinas o habitaciones. La cocina incluye un patio de servicio. El segundo piso consta de 2 habitaciones. La suite principal, es muy espaciosa, con un baño grande. Consta además de una terraza gigante, con vista a la Bahía.Además, una amplia habitación secundaria. La propiedad tiene estacionamiento para 2 vehículos.Es la oportunidad que buscabas, Llama ahora y no pierdas la oportunidad.";NA;-71.3055576;-29.9630637;2020-07-28;"venta";"casa";"Peñuelas"
"coquimbo-coquimbo";"https://www.portalinmobiliario.com/MLC-536174809-teofilo-amenabar-531-coquimbo-chile-_JM#position=2&type=item&tracking_id=cc4b9b81-366f-40a8-84b5-306d01fe8b78";"Teofilo Amenábar 531, Coquimbo, Chile, Rinconada";2.4e+07;NA;NA;2020-07-10;2;1;80;100;NA;1;"CASA EN REMATE EL JUEVES 30 DE JULIO A LAS 12:00 HRS EN HUÉRFANOS 979, PISO 7, SANTIAGO.Casa de dos pisos, ubicada entre Avenida Los Clarines y Carlos Brito, al oriente del centro de Coquimbo, cercana a establecimientos educacionales, de salud (CESFAM), centros deportivos, comerciales, sectores con plazas y áreas verdes.Distribución: 1º Piso: Cocina, living comedor, 1 baño, patio (con ampliación en construcción) y estacionamiento.2º Piso: Dos dormitorios y 1 baño completo.";NA;-71.3239114;-29.9963581;2020-07-28;"venta";"casa";"Rinconada"
"coquimbo-coquimbo";"https://www.portalinmobiliario.com/venta/casa/coquimbo-coquimbo/5704468-condominio-el-encanto-pan-de-azucar-coquimbo-uda#position=3&type=item&tracking_id=cc4b9b81-366f-40a8-84b5-306d01fe8b78";"Condominio El Encanto Pan De Azucar, Coquimbo,";255164869;8900;"5704468";2020-07-13;3;2;193;5150;NA;6;"Linda parcela ubicada en fundo el encanto, pan de azucar, entorno natual, portón automático de fierro forjado, faroles instalados en jardín, riego automático y técnificado. Casa sólida de 3 dorm. 2 baños de amplios espacios, living comedor separados de pisos cerámicos, cocina amoblada, patio de servicio, pasillo que nos lleva a salita de estar y dos dormitorios que comparten un baño, finalizando en dormitorio principal en suite con walking closet.La propiedad tiene un gran quincho con parrilla y horno, piscina, lindas palmeras hornamentales, cabaña de madera de 50m2 que cuenta con cocina integrada, living comedor, baño y en segundo piso con dormitorio abierto. Condominio El Encanto ubicado a 20min del centro de La Serena, tiene acceso controlado con control desde celular, pozo profundo";"Engel & Völkers La Serena";-71.2598114;-29.9995747;2020-07-28;"venta";"casa";"Coquimbo"
"coquimbo-coquimbo";"https://www.portalinmobiliario.com/venta/casa/coquimbo-coquimbo/5734795-coquimbo-uda#position=4&type=item&tracking_id=cc4b9b81-366f-40a8-84b5-306d01fe8b78";"Coquimbo, Centro De Coquimbo";6e+07;NA;"5734795";2020-07-24;4;2;1;1;NA;NA;"Casa esquina en Coquimbo 4D/2B - Casa esquina: Excelente locomoción, barrio residencial,pocos minutos de la playa, Amplio patio, entrada vehículos ,(todo con cerámica) lavadero, cocina totalmente equipada, con acceso a comedor, living, con ventanales acceso al patio, mas sala estudio (opcional) ventanales acceso patio lateral, dormitorio principal en suite, ventanales con salida al patio, segundo piso: Tres dormitorios, un baño, más sala estar (opcional) , Casa con mucha luz natural, toda la ampliación es nueva, la propiedad esta en muy buen estado, sus dueños solo la ocupan para veranear,con sus mantenciones al día.IVONNE MEZA ACEVEDO  +569 85936210. Hágame todas las consultas o dudas que tenga,es de mi agrado ayudarle. - KP25224 - - Publicado a través de KiteProp CRM Inmobiliario";"Urbalia Propiedades";-71.3388977;-29.9589996;2020-07-28;"venta";"casa";"Centro de Coquimbo"
"coquimbo-coquimbo";"https://www.portalinmobiliario.com/venta/casa/coquimbo-coquimbo/5734930-los-torreones-coquimbo-uda#position=5&type=item&tracking_id=cc4b9b81-366f-40a8-84b5-306d01fe8b78";"Los Torreones, Coquimbo, Rinconada";5e+07;NA;"5734930";2020-07-24;3;1;1;1;NA;NA;"Hermosa Casa en Sector Los Torreones, Coquimbo. - Hermosa casa en impecable estado ubicada en sector los torreones, Coquimbo.Sector tranquilo, cercano a supermercados, hospital, colegios, carabineros y locomoción a media cuadra.Casa cuenta con 3 dormitorios ( 1 de ellos en el patio pero bien conectado con la casa y amplio), 1 baño, bodega, ante jardín, patio, living-comedor, cocina y amplia entrada de vehículos. - KP26641 - - Publicado a través de KiteProp CRM Inmobiliario";"Urbalia Propiedades";-71.3283997;-30.0002003;2020-07-28;"venta";"casa";"Rinconada"
"coquimbo-coquimbo";"https://www.portalinmobiliario.com/venta/casa/la-serena-coquimbo/5735379-san-carlos-coquimbo-coquimbo-uda#position=6&type=item&tracking_id=cc4b9b81-366f-40a8-84b5-306d01fe8b78";"San Carlos, Coquimbo, Coquimbo, Tierras Blancas";6.5e+07;NA;"5735379";2020-07-24;1;1;1;1;NA;NA;"VENTA CASA BOSQUE SAN CARLOS \" COQUIMBO\" - CASA EN AV BOSQUE SAN CARLOS , COQUIMBOCUENTA CON 3 DORMITORIOSESTACIONAMIENTOPATIO1 BAÑOCOCINA AMOBLADACOMEDOR Y LIVING AMPLIOS - KP31553 - - Publicado a través de KiteProp CRM Inmobiliario";"Urbalia Propiedades";-71.2595978;-29.9692993;2020-07-28;"venta";"casa";"Tierras Blancas"
"coquimbo-coquimbo";"https://www.portalinmobiliario.com/MLC-537710748-santuario-de-penuelas-casa-provenzal-_JM#position=7&type=item&tracking_id=cc4b9b81-366f-40a8-84b5-306d01fe8b78";"Santuario De Peñuelas, Casa Provenzal, Peñuelas";177755302;6200;NA;2020-07-21;3;2;107;300;NA;2;"En barrio residencial de peñuelas se vende casa que consta de 3 dormitorios y dos baños, casa de dos pisos , amplia piso flotante en toda la casa, cocina con comedor de diario , completamente amoblada. Posee ventilación pasiva en toda las habitaciones. Patio con pasto sintetico, quincho para compartir.";"Century 21 Fontana";-71.29251;-29.9572961;2020-07-28;"venta";"casa";"Peñuelas"
"coquimbo-coquimbo";"https://www.portalinmobiliario.com/MLC-538495554-casa-excelente-ubicacion-_JM#position=8&type=item&tracking_id=cc4b9b81-366f-40a8-84b5-306d01fe8b78";"Casa Excelente Ubicacion, Peñuelas";84863822;2960;NA;2020-07-27;3;2;72;177;NA;2;"Casa en barrio residencial cercano a colegios, jardines, supermercados, ademas cuenta con locomoción a la puerta. Esta consta de living comedor separados, cocina amoblada, 3 dormitorios con closet, principal en suite y baño de visitas, la casa se encuentra ampliada, patio trasero techado y cerrado, rejas y protecciones en todas sus ventanas, estacionamiento para dos vehículos. Conectividad con La serena y Coquimbo.";"Century 21 Fontana";-71.249432;-29.970893;2020-07-28;"venta";"casa";"Peñuelas"
"coquimbo-coquimbo";"https://www.portalinmobiliario.com/MLC-538496341-comoda-casa-familiar-_JM#position=9&type=item&tracking_id=cc4b9b81-366f-40a8-84b5-306d01fe8b78";"Comoda Casa Familiar, Tierras Blancas";58401218;2037;NA;2020-07-27;3;1;52;138;NA;1;"Casa en sector residencial cercana a jardín infantil, colegios, locomoción, plazas con juegos de niños, cuenta con cómodo living comedor, cocina amoblada, 3 dormitorios con closets piso alfombrado, baño con shower door, patio pavimentado y con adocretos, ademas tiene construida una bodega en el patio trasero, entrada para un vehiculo, protecciones en todas sus ventanas, reja antejardin y porton de madera.";"Century 21 Fontana";-71.2483315;-29.966286;2020-07-28;"venta";"casa";"Tierras Blancas"
"coquimbo-coquimbo";"https://www.portalinmobiliario.com/venta/casa/coquimbo-coquimbo/5739765-manuel-rodriguez-1333-uda#position=10&type=item&tracking_id=cc4b9b81-366f-40a8-84b5-306d01fe8b78";"Manuel Rodríguez 1333, Cruz Del Tercer Milenio";4.3e+07;NA;"5739765";2020-07-27;3;1;79;100;NA;1;"¡SE VENDE! Casa esquina ubicada a pasos del centro cívico de la ciudad de Coquimbo. A sus alrededores se encuentran supermercados, locales comerciales, iglesias y locomoción publica.Valor de Venta$43.000.000.Especificaciones:79mts2 Construidos3 Dormitorios1 BañoCocinaComedorLiving.Terminaciones Piso baños: cerámicaPiso dormitorios: maderaCaracterísticas propiedad antejardín, reja en ventanas, sala de estar";"Construyela Propiedades";-71.3443756;-29.9554291;2020-07-28;"venta";"casa";"Cruz del Tercer Milenio"
