sep=; 
"barrio";"dir_url";"nombre";"precio";"precio_uf";"codigo";"fecha_publicacion";"dorm";"banos";"sup";"sup_total";"ambientes";"estacionamientos";"descripcion";"vende";"longitud";"latitud";"fecha_consulta";"venta_arriendo";"tipo_vivienda";"barrio_portal"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5648273-chile-espana-holanda-uda#position=1&type=item&tracking_id=de573d14-f6e0-4e87-91e2-24889c3d7fbd";"Chile España / Holanda, Plaza Ñuñoa, Ñuñoa";1.79e+08;NA;"5648273";2020-07-01;3;2;82;88;NA;2;"Departamento con muy buena distribución, y conectividad, Holanda/ Chile España.   A 7 minutos caminando del metro Chile-España.  Orientación: Nor Oriente.2 Estacionamientos, 1 bodega.Distribución:•Living comedor amplio•Cocina con loggia.  Equipada con horno empotrado, encimera y campana.•Escritorio•2 dormitorios, 1 baño•Dormitorio principal con walking closet y  closets.  Baño en suite.•2 estacionamientos•1 bodega.Piso fotolaminado tipo madera en living comedor, acceso y pasillos - Muebles de baño con vanitorio cubierta de mármol.Edificio cuenta con piscina, sala de eventos, gimnasioGasto común $116.000.- más consumo agua caliente.Contribuciones $150.000.-Características propiedad escritorio, loggia, terraza con malla, cocina amoblada, cocina equipadaCaracterísticas comunidad accesos controlados, áreas verdes, estacionamiento de visitas, gimnasio, juegos infantiles, piscina, sala de eventosGastos Contribuciones: $ 150.000Gastos comunes: $ 120.000Estacionamientos y bodegas  Estacionamientos: 2Bodegas: 1";"Sweethaus Propiedades";-70.5965195;-33.4471779;2020-07-02;"venta";"departamento";"Plaza Ñuñoa"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5658051-sueciadirecto-duenoarquitecto-uda#position=2&type=item&tracking_id=de573d14-f6e0-4e87-91e2-24889c3d7fbd";"Suecia / Directo Dueño / Arquitecto, Plaza Ñuñoa, Ñuñoa";1.85e+08;NA;"5658051";2020-06-10;3;2;100;100;NA;NA;"REAL OPORTUNIDAD: dueño arquitecto, directo sin comisiónSólo al contado (sin crédito hipotecario). Nororiente. 2º piso, Soleado y silencioso.Terraza corrida y cerrada de 1,5 x 9 metros.Full aislación térmica y acústica. Termopaneles y persianas Hangaroa. Calefacción eléctrica ecológica, de bajo consumo. BODEGA grande (9 m2) y ESTACIONAMIENTO, con opción de arriendo de segundo.3D 2B. Dos dormitorios para cama de dos plazas. Escritorio, terraza incluye plantas.Cocina full, cubierta de cuarzo, espacio comedor de diario, logia.Gastos Comunes 140.000 . Contribuciones: $ 114.000.Conserjería y seguridad 24 hrs. Estacionamiento de visitas.Sin deuda hipotecaria.EDIFICIO MUY SÓLIDO ESTRUCTURALMENTE.Metro Chile España. Supermercado.Corredores favor abstenerse...";NA;-70.5997925;-33.4528046;2020-07-02;"venta";"departamento";"Plaza Ñuñoa"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5686242-irarrazaval-3601-uda#position=3&type=item&tracking_id=de573d14-f6e0-4e87-91e2-24889c3d7fbd";"Irarrázaval 3601, Plaza Ñuñoa, Ñuñoa";1.3e+08;NA;"5686242";2020-06-27;3;2;70;70;NA;NA;"130.000.000 Se vende dpto. ubicado en plaza ÑUÑOA, ubicación sur poniente. 3 dormitorios y 2 baños. cocina americana y Loggia. el dpto. cuenta con estacionamiento y bodega. 958348604";NA;-70.5932007;-33.4553413;2020-07-02;"venta";"departamento";"Plaza Ñuñoa"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/MLC-534088761-departamento-en-venta-de-4-dorm-en-nunoa-_JM#position=4&type=item&tracking_id=de573d14-f6e0-4e87-91e2-24889c3d7fbd";"Campus Oriente - Chile España, Plaza Ñuñoa, Ñuñoa";186514250;6500;NA;2020-06-26;4;3;104;109;4;NA;"EXCELENTE CONECTIVIDAD !!4 Dormitorios - 3 Baños - 2 ESTACIONAMIENTOS - Bodega.Cómodo y luminoso departamento ideal para remodelar con excelente distribución que permite independencia en sus espacios. Ubicado en hermoso y tranquilo sector entre el limite de Ñuñoa y Providencia. Próximo al Metro Chile España, Plaza Ñuñoa , Campus Oriente, Supermercados, Farmacias, Verduleria al alcance de todo permitiendo una tranquila vida de barrio.Edificio de 9 pisos, Año 2006. Hall de Entrada a espacioso Living Comedor con salida a terraza. Cocina cuadrada, amoblada, conexión a lavadora.Pasillo divisor a Dormitorios, principal en suite con walking closet otros dormitorios con buena capacidad, amplios closet.Piscina, Sala de Eventos, Lavandería, Gimnasio, Juegos de niños, Bicicletero, Estacionamiento de visitas, Seguridad 24/7, Circuito cerrado de TV.Medidas aproximadas.Gastos comunes $180.000Coordinar al +56998290590";"Rothery & Valdés Propiedades";-70.596165;-33.4466359;2020-07-02;"venta";"departamento";"Plaza Ñuñoa"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/MLC-534088181-departamento-en-venta-de-2-dorm-en-nunoa-_JM#position=5&type=item&tracking_id=de573d14-f6e0-4e87-91e2-24889c3d7fbd";"Av. Chile España / 2 Estacionamientos, Plaza Ñuñoa, Ñuñoa";157819750;5500;NA;2020-06-26;2;2;75;83;2;NA;"¡¡¡ OPORTUNIDAD !!!Cómodo y Luminoso Departamento Ubicado en la Comuna de Ñuñoa Cercano a Comercios, Restaurantes, Supermercados, Colegios, Universidades, Plaza Ñuñoa, Estación del Metro Chile España. Excelente Conectividad.Departamento Cuenta con Hall de Entrada, Puerta Divisora que Invita a un Lindo Living Comedor con Salida a una Gran Terraza Cerrada, Cocina Semi Incorporada Estilo Americana, Loggia Cerrada, 2 Dormitorios Principal en Suite mas Espaciosos Closets, Segundo Dormitorio de Buen Tamaño mas Closets, 2 Baños, 2 Estacionamientos en Tandem y Bodega.Edificio Cuenta Seguridad 24/7, Circuito Cerrado de TV, Portón Eléctrico, Estacionamientos para Visitas, Quincho con Vista Panorámica, Sala de Cine, Salón de Eventos, Gimnasio, Piscina, Juegos para Niños al Aire Libre y Lindas Áreas Verdes.Metros son Proporcionados por el Dueño ...¡¡¡ No Deje de Visitar !!!";"Rothery & Valdés Propiedades";-70.598634;-33.4547645;2020-07-02;"venta";"departamento";"Plaza Ñuñoa"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/MLC-534098677-departamento-en-venta-battle-y-ordonez-_JM#position=6&type=item&tracking_id=de573d14-f6e0-4e87-91e2-24889c3d7fbd";"Ñuñoa: Battle Y Ordoñez, Plaza Ñuñoa, Ñuñoa";206600400;7200;NA;2020-06-26;3;2;80;NA;3;1;"FLR1926 Estupendo departamento en moderno edificio, emplazado en el corazón de Ñuñoa.  3 dormitorios, principal en suite con walking clóset, salida independiente a terraza, 2 baños, Hall de entrada, Living comedor juntos con salida a terraza, cocina integrada, amoblada con cubierta de Quarztone, amplia loggia. Calefacción individual por radiadores. Estacionamiento. Edificio equipado con piscina, sala de eventos, quincho panorámico, bicicletero,estacionamiento de visitas. Coordinar Marisol Cruz +56993498760 marisolcruzcueto@fuenzalida.com";"Fuenzalida Propiedades La Reina";-70.5916771;-33.4489542;2020-07-02;"venta";"departamento";"Plaza Ñuñoa"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/MLC-534088560-departamento-en-venta-de-3-dorm-en-nunoa-_JM#position=7&type=item&tracking_id=de573d14-f6e0-4e87-91e2-24889c3d7fbd";"Plaza Ñuñoa - Inmejorable Conectividad, Plaza Ñuñoa, Ñuñoa";180775350;6300;NA;2020-06-26;3;2;90;95;3;NA;"RESIDENCIAL - TRANQUILO !!3 Dormitorios - 2 Baños - Estacionamiento - Bodega.Esta ubicado en uno de los Barrios mas Tradicionales de la comuna de Ñuñoa. Disfrutas de la Comodidad de encontrar en el mismo lugar zonas Culturales, Financieras, Turísticas, Recreativas, Plazas y Parques que permiten compartir en familia.Hall de entrada, puerta divisora a cómodo Living comedor, salida a terraza con vista arboleada. Cocina tradicional, logia independiente.Pasillo divisor a dormitorios principal en suite, segundo y tercero con la misma capacidad cama plaza y media mas escritorio. Piso Flotante, Año 2006, Radiadores, ORIENTE. Quincho, Lavandería, Sala multiuso, Piscina, Estacionamiento de Visitas.Inmejorable conectividad a pasos de Metro Chile España, Locomoción colectiva, importantes avenidas principales que permiten un rápido desplazamiento.Un lugar único para vivir!!";"Rothery & Valdés Propiedades";-70.591854;-33.4563931;2020-07-02;"venta";"departamento";"Plaza Ñuñoa"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/MLC-534104830-departamento-en-venta-de-3-dorm-en-nunoa-_JM#position=8&type=item&tracking_id=de573d14-f6e0-4e87-91e2-24889c3d7fbd";"Jaime Guzman N° 3253, 3 Dorm. 2 Baños Mas Bodega, Plaza Ñuñoa, Ñuñoa";1.35e+08;NA;NA;2020-06-27;3;2;71;75;3;NA;"Estupendo Depto. Chile España con Jaime Guzman, Piso 3, BodegaOrientación: Nor-OrienteMetraje: 71 m2 Útil4 terraza Características:- 3 Dormitorios - 2 Baños, 1 en suite- Cocina Separada- Espacio para Refrigerador- Logia Separada para Lavadora- Balcón en Living- Piso Ceramica- BodegaCaracterísticas Edificio:- CCTV- Conserje 24 HrsA pasos del Campus Oriente U. Católica a 1 cuadra Supermercado Unimarc, a 2 cuadras de Simón Bolívar con Los leones, Colegios, Iglesiasen Pleno centro de Ñuñoa, a 15 min a pie de Plaza Ñuñoa (pubs y restaurantes). Edificio de Año: 1995Gastos comunes aprox. $100.000.- Contribuciones $ 60.000.-Contacto:Enrique Lopezcel: 9-8920.5753Roberto Astorgacel: 9-7866.0626";"Nexxos";-70.5959939;-33.446277;2020-07-02;"venta";"departamento";"Plaza Ñuñoa"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/MLC-534089127-departamento-en-venta-de-1-dorm-en-nunoa-_JM#position=9&type=item&tracking_id=de573d14-f6e0-4e87-91e2-24889c3d7fbd";"Loft / Plaza Nuñoa, Plaza Ñuñoa, Ñuñoa";226686550;7900;NA;2020-06-26;1;1;61;142;1;NA;"MODERNO Y CÓMODO !!1 Dormitorio - 1 Baño - Estacionamiento y BodegaLOFT un concepto ecológico innovador que combina el diseño y confort, muros de hormigón a la vista. Se destaca por su gran terraza de 81m2 que rodea el departamento creando un ambiente independiente para compartir en familia y amigos.Esta ubicado en uno de los barrios mas tradicionales de la comuna de Ñuñoa. Disfrutas de la comodidad, seguridad logrando incorporar áreas Culturales, financieras, turísticas y amplias áreas verdes.Hall de entrada a espacioso living comedor, salida a terraza con vista totalmente despejada. Cómoda cocina americana amoblada y equipada.Segundo Nivel : Acogedor dormitorio principal en suite con walking closet. Ambientes independientes que se incorporan armoniosamente al departamento. Piso Flotante, Año 2001, Estacionamiento, Bodega, Lavandería, Seguridad 24/7, Estacionamiento de Visitas.Inmejorable conectividad a pasos de Metro Chile España, Locomoción colectiva, importantes avenidas principales que permiten un rápido desplazamiento.Medidas aproximadas.Un lugar único para vivir!!";"Rothery & Valdés Propiedades";-70.5941637;-33.452607;2020-07-02;"venta";"departamento";"Plaza Ñuñoa"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5690050-vive-la-vida-de-barrio-de-nunoa-el-aguilucho-uda#position=10&type=item&tracking_id=de573d14-f6e0-4e87-91e2-24889c3d7fbd";"Vive La Vida De Barrio De Ñuñoa! / El Aguilucho, Plaza Ñuñoa, Ñuñoa";1.75e+08;NA;"5690050";2020-06-30;3;NA;97;100;NA;1;"ACOGEDOR DEPARTAMENTO / VIDA DE BARRIO EN ÑUÑOA / CAMPUS ORIENTE UC / EL AGUILUCHO / MUNICIPALIDAD DE ÑUÑOA / TEATRO UC / PLAZA ÑUÑOA / PARQUE BOTÁNICO / MEZQUITA AS-SALAM / HOSPITAL DE CARABINEROS / COLEGIO ISABEL LA CATOLICA Y SAGRADOS CORAZONES / SUPERMERCADOS / PARQUE INÉS DE SUAREZ / TEATRO MUNICIPAL DE ÑUÑOA / ACCESOS POR TOBALABA / SIMON BOLIVAR / IRARRAZAVAL / BILBAO / MALL PLAZA EGAÑA / PORTAL ÑUÑOATE INVITAMOS A VISITAR LA PROPIEDAD: CEL +(56 9) 8232 4845, CEL2: +(56 9) 7806 6038, DUNCANPROPIEDADES@GMAIL.COMLiving Comedor Ampliado - Piso flotante – Cocina Moderna – Loggia con Closet y espacio para Lavadora y Secadora - Cortinas Living Roller – Terrazas Living con Porcelanato y Revestido en Piedras - Encimera a Gas – Horno Eléctrico - Bodega– Calefacción por Losa radiante (Se puede mantener apagada) 1 Dormitorio en Suite con Walk-in Closet y Terraza cerrada doble vidrio para oficina2 Dormitorios con Closet ventana linda vista2 Baños1 Estacionamiento1 Bodega DISPONIBILIDAD INMEDIATA - VISITAR - ENGLISH SPOKEN Piscina – Gimnasio – Sala Multiuso – Quincho y Sala Eventos independiente (se puede utilizar una o ambas) – Sala Computación - Estacionamiento de Visita - Accesos Controlados las 24hs – Cámaras de Seguridad – Calle tranquila y bien conectadaSOLICITAR INFORMACIÓN AL CEL1 +(56 9) 8232 4845, CEL2: +(56 9) 7806 6038, DUNCANPROPIEDADES@GMAIL.COM Terminaciones Piso baños: porcelanatoPiso dormitorios: piso flotanteSuministros Agua caliente: calderaCalefacción: losa radianteCaracterísticas propiedad despensa, loggia, pieza de planchado, cocina equipadaCaracterísticas comunidad accesos controlados, circuito cerrado de tv, citófono, estacionamiento de visitas, gimnasio, piscina, portón eléctrico, quincho, sala de eventos, sala de juegosGastos Contribuciones: $ 100.000Gastos comunes: $ 140.000Estacionamientos y bodegas  Estacionamientos: 1Bodegas: 1";"Pro Duncan Propiedades";-70.5935669;-33.4486427;2020-07-02;"venta";"departamento";"Plaza Ñuñoa"
