sep=; 
"barrio";"dir_url";"nombre";"precio";"precio_uf";"codigo";"fecha_publicacion";"dorm";"banos";"sup";"sup_total";"ambientes";"estacionamientos";"descripcion";"vende";"longitud";"latitud";"fecha_consulta";"venta_arriendo";"tipo_vivienda";"barrio_portal"
"valdivia-de-los-rios";"https://www.portalinmobiliario.com/venta/departamento/valdivia-de-los-rios/5684963-sector-central-a-pasos-del-rio-uda#position=1&type=item&tracking_id=3704700d-1290-44a3-9fed-3f70f6ab6538";"Sector Central, A Pasos Del Río, Centro De Valdivia, Valdivia";2.4e+08;NA;"5684963";2020-06-26;3;3;115;140;NA;1;"Gran departamento en Piso 6 con vista al poniente y sur poniente, incluye bodega y estacionamiento subterráneo.Ubicado en pleno centro de la ciudad, cuenta con recibidor, hall de acceso, líving comedor amplio, cocina amoblada con logia incorporada, 3 dormitorios y 3 baños. Dormitorio principal con baño en suite, segundo y tercer dormitorio amplios. Todos los dormitorios con vista poniente o sur poniente. Amplia terraza, a todo el frente, con orientación poniente. Edificio a pasos de Plaza de Armas, Bancos, Notarías y servicios, Centros comerciales, Restaurantes y Cafeterías. A metros de paseo costanera Río Calle Calle.";NA;-73.247139;-39.8154831;2020-07-02;"venta";"departamento";"Centro de Valdivia"
"valdivia-de-los-rios";"https://www.portalinmobiliario.com/venta/departamento/valdivia-de-los-rios/5685305-independencia-000001-uda#position=2&type=item&tracking_id=3704700d-1290-44a3-9fed-3f70f6ab6538";"Independencia 000 / 001, Valdivia";2.4e+08;NA;"5685305";2020-06-26;3;3;122;122;NA;1;"Se vende  excelente  y cómodo departamento a tan sólo una cuadra de la Plaza de la República. Se ubica en el 6to piso y está compuesto por un living, comedor, una amplia cocina equipada, tres dormitorios y tres baños. Además, logia, Bodega, y terraza. El departamento cuenta con calefacción central y un estacionamiento subterráneo.Estacionamientos y bodegas  Estacionamientos: 1Bodegas: 1";"Eduardo Schild Y Cía.";-73.2468948;-39.8138008;2020-07-02;"venta";"departamento";"Valdivia"
"valdivia-de-los-rios";"https://www.portalinmobiliario.com/venta/departamento/valdivia-de-los-rios/4656584-costanera-la-mejor-vista-uda#position=3&type=item&tracking_id=3704700d-1290-44a3-9fed-3f70f6ab6538";"Costanera - La Mejor Vista, Valdivia";332999672;11605;"4656584";2019-03-12;4;3;111;111;NA;NA;"Maravilloso departamento con vista panorámica a río Valdivia. Ubicado en costanera a pasos de casino de juegos, mercado fluvial, restaurantes,instituciones financieras,colegios, universidades,comercio en general.Edificio con acceso controlado las 24 horas del día.Departamento con hall acceso, living comedor vista panorámica inigualable a río Valdivia, cocina con muebles diseñados acorde a espacios,loggia, dormitorio y baño de servicio, tres dormitorios,principal en suite,,baño completo.Calefacción a gas individual. Cuenta con 2 Estacionamientos y 1 bodega.Gastos comunes $200.000* metros aproximadosCaracterísticas propiedad loggia, cocina amobladaCaracterísticas comunidad accesos controladosGastos Gastos comunes: $ 200.000Estacionamientos y bodegas  Estacionamientos: 2Bodegas: 1";"Wonenhaus Gestión Inmobiliaria";-73.245018;-39.8098717;2020-07-02;"venta";"departamento";"Valdivia"
"valdivia-de-los-rios";"https://www.portalinmobiliario.com/venta/departamento/valdivia-de-los-rios/5253413-isla-teja-uda#position=4&type=item&tracking_id=3704700d-1290-44a3-9fed-3f70f6ab6538";"Isla Teja, Isla Teja, Valdivia";180775350;6300;"5253413";2019-12-03;3;2;97;NA;NA;NA;"Departamento exclusivo Condominio con vista panoramica a Santuario de la Naturaleza y Rio Cruces, Isla Teja, Valdivia.Inmediato a Campus Isla Teja UACH, Colegio Alemán, parque Saval, museos, exclusivo sector gastronómico , barrio consolidado a 5 min del centro.Código ID: EB-DE9727Año de Construcción: 2015DESCRIPCIÓN:* Living - comedor acceso a terraza * Cocina completamente equipada* Logia* Dormitorio en suite con Bow Windows* 2 dormitorios* 1 bañoEquipamiento:* Piso flotante, porcelanato y alfombra* Ventanas termo-panel* Calefacción central por losa radiante Exterior:* Consejería 24 horas* Cámaras de seguridad* Ascensores* Accesibilidad para personas discapacitadas* Áreas verdes* Piscina* Quincho* Sala multiuso* Estacionamiento subterráneo* Bodega";"Property Partners Chile S.a.";-73.2675018;-39.8070984;2020-07-02;"venta";"departamento";"Isla Teja"
"valdivia-de-los-rios";"https://www.portalinmobiliario.com/MLC-520436252-propiedad-en-teja-sur-valdivia-_JM#position=5&type=item&tracking_id=3704700d-1290-44a3-9fed-3f70f6ab6538";"Propiedad En Teja Sur, Valdivia, Isla Teja, Valdivia";1.95e+08;NA;"491";2020-02-17;5;3;138;138;5;1;"Hermoso duplex de 138 m2, con maravillosa vista al río Valdivia, centro de la ciudad y también al río Cruces.El departamento se encuentra en el noveno y último piso del edificio, todas sus ventanas con termo panel y con muchos closets los que se encuentran distribuidos en dormitorios, pasillos y sala de estar.En el primer piso se emplaza un amplio living comedor, cocina con Logia y el dormitorio principal con su baño en suite y walk in closet, y otros dos dormitorios.En el segundo piso, tal como un segundo departamento, se encuentra una enorme sala de estar y dos dormitorios más junto al tercer baño completo.El departamento se encuentra en el sector de la Isla Teja Sur, cercano a supermercado, colegios y universidad. En un futuro a pasos del segundo puente que está proyectado a construirse y que unirá la calle Lord Cochrane con la Isla Teja Sur.Cuenta con estacionamiento y una amplia bodega.Agenda una visita con Nativo Propiedades.Nota: Las superficies y características entregadas de la propiedad son aproximadas y referenciales y han sido proporcionadas por su dueño.";"Nativo Propiedades";-73.2584057;-39.8163783;2020-07-02;"venta";"departamento";"Isla Teja"
"valdivia-de-los-rios";"https://www.portalinmobiliario.com/venta/departamento/valdivia-de-los-rios/5305788-isla-teja-uda#position=6&type=item&tracking_id=3704700d-1290-44a3-9fed-3f70f6ab6538";"Isla Teja, Isla Teja, Valdivia";180775350;6300;"5305788";2019-12-23;3;2;97;NA;NA;NA;"Departamento exclusivo Condominio con vista panorámica a Santuario de la Naturaleza y Rio Cruces, Isla Teja, Valdivia.Inmediato a Campus Isla Teja UACH, Colegio Alemán, parque Saval, museos, exclusivo sector gastronómico , barrio consolidado a 5 min del centro.Código ID: EB-EH8698Año de Construcción: 2015DESCRIPCIÓN:* Living - comedor acceso a terraza * Cocina completamente equipada* Loggia* Dormitorio en suite con Bow Windows* 2 dormitorios* 1 bañoEQUIPAMIENTO:* Piso flotante, porcelanato y alfombra* Ventanas termo-panel* Calefacción central por losa radiante EXTERIOR:* Consejería 24 horas* Cámaras de seguridad* Ascensores* Accesibilidad para personas discapacitadas* Áreas verdes* Piscina* Quincho* Sala multiuso* Estacionamiento subterráneo* Bodega";"Property Partners Chile S.a.";-73.267601;-39.8069;2020-07-02;"venta";"departamento";"Isla Teja"
"valdivia-de-los-rios";"https://www.portalinmobiliario.com/venta/departamento/valdivia-de-los-rios/5135863-hermoso-departamento-en-isla-teja-uda#position=7&type=item&tracking_id=3704700d-1290-44a3-9fed-3f70f6ab6538";"Hermoso Departamento En Isla Teja, Valdivia";1.95e+08;NA;"5135863";2019-10-16;5;3;138;138;NA;NA;"Hermoso Departamento en Isla Teja, duplex, ubicado en Piso 9 de Condominio ubicado en Teja Sur.Primer nivel consta de amplio y luminoso living comedor con piso flotante, cocina con muebles bases y aéreos, logia, tres dormitorios, dos baños, principal en suite. Segundo nivel dos dormitorios, closet de blanco, un baño, amplia sala de estar, dos dormitorios con Walking Closet. Cuenta con bodega y estacionamiento, calefacción central a gas con radiadores.Condominio tranquilo y seguro, acceso controlado mediante servicio de conserjería las 24 horas.Isla Teja es un hermoso barrio residencial que se caracteriza por su maravilloso entorno de áreas verdes, gran variedad de exquisitos restaurantes y cafés. Acá se ubica el principal Campus de la Universidad Austral de Chile, Laguna de Los Lotos, Parque Saval, Colegio Deutsche Schule, Bancos, Supermercados, Farmacias, etc . Conectada al centro a través del Puente Pedro de Valdivia y Puente Cruces que permite el tránsito hacia Niebla y la Bahía de Corral en la costa.Superficie: 138 m2 aproximadamenteEstacionamientos y bodegas  Estacionamientos: 1Bodegas: 1";"Monte Río Propiedades";-73.25737;-39.8165436;2020-07-02;"venta";"departamento";"Valdivia"
"valdivia-de-los-rios";"https://www.portalinmobiliario.com/MLC-522791545-departamento-en-venta-de-4-dormitorios-en-valdivia-_JM#position=8&type=item&tracking_id=3704700d-1290-44a3-9fed-3f70f6ab6538";"Isla Teja Sur, Isla Teja, Valdivia";212339300;7400;NA;2020-03-27;4;3;138;138;4;NA;"Hermoso duplex de 138 m2, con maravillosa vista al río Valdivia, centro de la ciudad y también al río Cruces.El departamento se encuentra en el noveno y último piso del edificio, todas sus ventanas con termo panel y con muchos closets los que se encuentran distribuidos en dormitorios, pasillos y sala de estar.En el primer piso se emplaza un amplio living comedor, cocina con Logia y el dormitorio principal con su baño en suite y walk in closet, y otros dos dormitorios.En el segundo piso, tal como un segundo departamento, se encuentra una enorme sala de estar y dos dormitorios más junto al tercer baño completo.El departamento se encuentra en el sector de la Isla Teja Sur, cercano a supermercado, colegios y universidad. En un futuro a pasos del segundo puente que está proyectado a construirse y que unirá la calle Lord Cochrane con la Isla Teja Sur.Cuenta con estacionamiento y una amplia bodega (se arrienda sin bodega).Valor de Venta: 195.000.000Valor de Arriendo: $ 570.000.- + Gastos Comunes $130.000, los que se cancelan directamente a la propietaria. El contrato de arriendo se realizará por un periodo de 2 meses renovable.Agenda una visita con HTP Propiedades.Nota: Las superficies y características entregadas de la propiedad son aproximadas y referenciales y han sido proporcionadas por su dueño.";"Nexxos";-73.2550579;-39.8164772;2020-07-02;"venta";"departamento";"Isla Teja"
"valdivia-de-los-rios";"https://www.portalinmobiliario.com/MLC-522794014-departamento-en-venta-de-4-dormitorios-en-valdivia-_JM#position=9&type=item&tracking_id=3704700d-1290-44a3-9fed-3f70f6ab6538";"Condominio Haberveck, Campo Militar De Valdivia, Valdivia";1.2e+08;NA;NA;2020-03-27;4;2;NA;NA;4;NA;"SE VENDE HERMOSO DEPARTAMENTO Se Venden Departamentos Dúplex en Condominio Haberveck Valdivia, cuentan con 4 Dormitorios o 3 dormitorios más sala de estar, 2 baños, cocina abierta tipo americana, terraza con espectacular vista al Río Valdivia, todas las ventanas Termo panel, acceso a áreas verdes y marina para acceso a Río. Cercano a Universidad San Sebastián, Campus Uach Miraflores, a 3 minutos de Hospital Regional y a sólo 6 minutos del centro de la ciudad.¡¡¡Son sólo 2 unidades!!! Aproveche real oportunidad. Valor $120.000.000. - Sin Comisión.";"Nexxos";-73.250629;-39.8272348;2020-07-02;"venta";"departamento";"Campo Militar de Valdivia"
"valdivia-de-los-rios";"https://www.portalinmobiliario.com/venta/departamento/valdivia-de-los-rios/5629926-general-lagos-bueras-uda#position=10&type=item&tracking_id=3704700d-1290-44a3-9fed-3f70f6ab6538";"General Lagos / Bueras, Campo Militar De Valdivia, Valdivia";119082175;4150;"5629926";2020-05-25;3;2;120;120;NA;2;"Town House a orilla de rio de 122 mts2 con tres pisos, living comedor cocina equipada en primer piso , dormitorio principal y otro dormitorio y un baño en segundo piso, otro dormitorios o sala de estar y otro baño en tercer piso, jardin propio acceso al río, muelle en condominio, sala de lavandería y salón de eventos, dos estacionamientosCaracterísticas propiedad cocina americana, cocina amoblada, portón automáticoCaracterísticas comunidad accesos controlados, áreas verdes, citófono, portón eléctrico, sala de eventosEstacionamientos y bodegas  Estacionamientos: 2";"R & M Izquierdo";-73.2507553;-39.8272362;2020-07-02;"venta";"departamento";"Campo Militar de Valdivia"
