sep=; 
"barrio";"dir_url";"nombre";"precio";"precio_uf";"codigo";"fecha_publicacion";"dorm";"banos";"sup";"sup_total";"ambientes";"estacionamientos";"descripcion";"vende";"longitud";"latitud";"fecha_consulta";"venta_arriendo";"tipo_vivienda";"barrio_portal"
"aysen-aysen";"https://www.portalinmobiliario.com/MLC-530493949-sitio-en-venta-en-aisen-_JM#position=1&type=item&tracking_id=6bfde9f0-c397-46c1-8370-6ecc090dd388";"Aeropuerto Balmaceda,";7487033;261;NA;2020-06-04;NA;NA;NA;5000;NA;NA;"Proyecto Mirador Huemules - Balmaceda - Región de Aysén**CONDICIONES COMERCIALESTerrenos de 5.000 m2 con una ubicación inmejorable, prometen ser la mejor inversión para tu futuro (Rentabilidad histórica sobre el 10% anual). Fuente: Emol.com**La conectividad hacia los principales atractivos turísticos y puntos clave de la región hacen de Mirador Huemules una opción inigualable.Atracciones:-Capillas de Mármol (185 km)-Parque Nacional Cerro Castillo (20 km)-Coyhaique (48 km)-Carretera Austral (9 km)**-A solo 15 minutos del aeropuerto de Balmaceda.-Naturaleza virgen. -Abundante agua dulce, flora y fauna nativa-Acceso a servicios, Luz y camino público-Con acceso a Playa y Río Huemules-Invierte en una ubicación estratégica de alta plusvalía**TOUR VIRTUAL: https://www.lanube360.com/balmaceda/Ubicación exacta (45°50'52.3\"S 71°46'44.0\"W): https://goo.gl/maps/6vxZKo9irbcwohrn6**ATRACCIONES:-Capillas de Mármol (185 km)-Parque Nacional Cerro Castillo (20 km)-Coyhaique (48 km)-Carretera Austral (9 km)**CATEGORIAS Y PRECIOS DE LOTES: Vista Estepa: Lotes desde 7.380.000 CLP - 23 u.Bosque Renoval: Lotes desde 8.520.000 CLP - 1 u.Bosque Renoval: Bosque Antiguo-Vista Estepa: Lotes desde 9.450.000 CLP - 67 u.Bosque Renoval: Lotes desde 9.870.000 CLP - 3 u.Segunda Línea – Limita con camino público: Lotes desde 11.840.000 CLP - 15 u.**ESTATUS LEGAL:Se cuenta con los planos del loteo Aprobados por el SAG. Todo el loteo tiene sus respectivos roles definitivos.**FACILIDADE DE PAGO:Todos los lotes pueden pagarse con un pie desde el 20% + 48 cuotas con tarjeta de crédito, a documentarse con Promesa de Compraventa.**RESERVA:La reserva es de $500.000 CLP por lote y la misma no tiene devolución.**Favor Contactar:Fidel Sonatore / Contador AuditorAgente Inmobiliario, Keller Williams Chile.Cel y whatsapp +56 9 3729 0578https://wa.me/56937290578Email: Fidel.Sonatore@kwchile.com**FC: @FidelSonatoreKWIG: FidelSonatore_KW**";"Kw Chile";-72.1285018;-45.7674792;2020-07-11;"venta";"sitio";"Aysén"
"aysen-aysen";"https://www.portalinmobiliario.com/venta/sitio/aysen-aysen/5623026-rio-simpson-uda#position=2&type=item&tracking_id=6bfde9f0-c397-46c1-8370-6ecc090dd388";"Río Simpson,";7380000;NA;NA;2020-05-20;NA;NA;NA;5000;NA;NA;"MIRADOR HUEMULESLotes de 5.000m2 cercanos a Río Simpson, conocido por actividades de pesca con moscaUbicado a 15 minutos del aeropuerto de Balmaceda y todos los servicios básicos. Acceso por tierra con caminos hacia el loteo y dentro del predio (servidumbres de paso).Cuenta con postes de mediana tensión para bajada de luz y agua por pozo.Todos los lotes cuentan con rol propio, encontrarás los siguiente:- Segunda línea a $11.840.000- Directo a camino público $11.840.000- Bosque Renoval $9.450.000- Mirador Bosque Antiguo $9.450.000- Vista Estepa $7.380.000Facilidades de pago con Transbank y cheques, pregunta por plan de cuotas.Mail: ventas@bkrealtygroup.clWsp: +56993043649";"Bk Realty Group";-71.7779388;-45.8477936;2020-07-11;"venta";"sitio";"Aysén"
"aysen-aysen";"https://www.portalinmobiliario.com/venta/sitio/aysen-aysen/5393890-venta-terreno-en-la-patagonia-puerto-tranquilo-127-hectareas-uda#position=3&type=item&tracking_id=6bfde9f0-c397-46c1-8370-6ecc090dd388";"Venta Terreno En La Patagonia / Puerto Tranquilo, 127 Hectáreas,";818553583;28535;NA;2020-01-29;NA;NA;NA;1270000;NA;NA;"OPORTUNIDAD PARA INVERTIR EN LA PATAGONIAFrente a Campos de Hielo Norte, Reserva Mundial de Agua DulceRegión Libre de Contaminación y donde está todo por hacer. Descripción del Predio:Ubicado a 23 km de Puerto Río Tranquilo (Capital de Deportes Outdoor de la Región), por Camino a Bahía Exploradores, Sector Cascada La Nutria, Campos de Hielo Norte, Parque Nacional Laguna San Rafael.Comuna de Ingeniero Ibáñez,Undécima Región de Aysén.SUPERFICIE:127 Has. 90% Lomajes y Montaña, 10% plano, ribera Río Norte (1 KM app.) bosque nativo, pesca de truchas60 km. Por Carretera Austral asfaltada.Villa Cerro Castillo-Puerto Río Tranquilo: 2hrs. 30 minutos, por carretera Austral, carpeta de ripio.Desde esta localidad se debe transitar hasta el km 23 del Camino a Bahía Exploradores (30 minutos).CARACTERISTICAS:El Campo por su lado sur, lo bordea el Río Norte (1km) y por el límite norte cordilleras fiscales y accede a ventisqueros glaciares y arroyos.Al interior del predio hay bosque nativo con diversas especies, tales como Lenga, Coigue, Canelo, Calafate; Notro, Chilco, Luma, Nalca, y Coligue y su fauna está compuesta por Cóndor, Zorro Gris, Liebre, Puma.LUGARES DE ATRACCION TURISTICA DE LA ZONA:Catedrales de Mármol (Pto. Tranquilo y Pto. Sanchez), Campos de Hielo Norte, Parque Laguna San Rafael, Río Exploradores, Lago Bayo, Lago Tranquilo, Bahía Exploradores, Cascada La Nutria, Monte San Valentín, el más alto de la Región, Navegación y pesca en Lago Chelenko (General Carrera), el más grande de Chile y Segundo de Sud América.USOS:Aptitud Turística (hotel, logde, cabañas), Ganadera y Forestal.";"Lugarinmobiliario.com";-72.7206192;-46.654026;2020-07-11;"venta";"sitio";"Aysén"
"aysen-aysen";"https://www.portalinmobiliario.com/venta/sitio/aysen-aysen/5187606-bahia-de-chacabuco-0000-uda#position=4&type=item&tracking_id=6bfde9f0-c397-46c1-8370-6ecc090dd388";"Bahía De Chacabuco 0000,";6.9e+08;NA;"5187606";2019-11-11;NA;NA;NA;3300000;NA;NA;"ISLA CARMEN EN VENTA BAHÍA DE CHACABUCOCOMUNA Y REGION DE AYSENSuperficie: 330 HectáreasValor: 660.000.000!!!! Gran oportunidad Isla en el Fiordo Aysén !!!!Isla Carmen335.has frente a Puerto chacabuco (a 10 minutos del puerto) y a 30 minutos de Puerto Aysén a la salida del rioNo está habitada hace más de 10 años y tuvo un coto de caza de ciervo rojo, donde aún hay una población de sobre 200.Lugares limpios, hermosas vistas, bosque nativo, sectores de reparo como para instalar marinaLa Isla no esta habitada no tiene ocupación ni pobladores de manera irregular habitando a pesar de estar muy cerca del Puerto de Chacabuco y Puerto AysenAdemas tiene varias vertientes y arroyos de agua dulce en su interior.";"Pellegrini Propiedades";-72.8216629;-45.4680557;2020-07-11;"venta";"sitio";"Aysén"
"aysen-aysen";"https://www.portalinmobiliario.com/venta/sitio/aysen-aysen/5458789-patagonia-uda#position=5&type=item&tracking_id=6bfde9f0-c397-46c1-8370-6ecc090dd388";"Patagonia,";4e+08;NA;NA;2020-02-27;NA;NA;NA;NA;NA;NA;"Excepcional propiedad con 2,4 kms. de borde de lago Roosevelt, y 572 hectáreas en total, rodeada de una indescriptible belleza y tranquilidad. El lugar está rodeado de rutas escénicas de bosques siempre verdes, ríos, cascadas y nieve eterna.Ésta propiedad es apta para inversiones turísticas, ya que mantiene un estado natural de conservación con poca intervención humana a lo largo del tiempo con espacios prístinos, rodeado de selva virgen y montañas solitarias y remotas.La propiedad tiene un potencial sin explotar de bosques y aguas. Ofrece lugares incomparables para la pesca (prueba de esto es la existencia del turismo de pesca en la zona), fotografía y Trekking.En cuanto a la fauna, se puede contar con zorros, pumas, jabalíes, pudus y otras especies menores, es común ver aves como el colibrí, el martín pescador, el cóndor, el chucao, la tagua y el pájaro carpintero. Las especies hidrobiológicas más comunes son la trucha marrón y la trucha arco iris en cantidades más pequeñas, así como los anfibios y pequeños reptiles.La flora es típica de la selva valdiviana, grandes árboles de maderas preciosas, como Coigüe, Tepa, Canelo y Arrayán. También hay una gran cantidad de coligue y arbustos menores";"Alto Andes Propiedades";-73.7669461;-45.9864001;2020-07-11;"venta";"sitio";"Aysén"
"aysen-aysen";"https://www.portalinmobiliario.com/MLC-517626846-sitio-en-venta-en-aisen-_JM#position=6&type=item&tracking_id=6bfde9f0-c397-46c1-8370-6ecc090dd388";"Aisén,";702805775;24500;NA;2019-12-27;NA;NA;NA;3300000;NA;NA;"Isla Carmen se encuentra en la ruta de los canales patagónicos a 20 minutos de Puerto Chacabuco con una superficie de 330 ha. y un paisaje de belleza única. Ideal para desarrollo de proyectos turismos bonos de carbono etc. Se caracteriza por un bosque lluvioso 60% bosque nativo donde destacan: coigues arrayanestepa canelo mañío palo santo. Dentro de su fauna: posee un coto de caza de alrededor de 200 ejemplares de ciervo rojo inscritos y autorizado por el Servicio Agrícola y Ganadero SAG. Su fauna marina se caracteriza por encontrar: langostas jaivas salmones. Predomina el clima lluvioso y la temperatura promedio es de 9°C. Posee agua de vertientes durante todo el año.";"Berrios Zegers Propiedades";-72.8513889;-45.4427778;2020-07-11;"venta";"sitio";"Aysén"
"aysen-aysen";"https://www.portalinmobiliario.com/MLC-532767091-sitio-en-venta-en-aisen-_JM#position=7&type=item&tracking_id=6bfde9f0-c397-46c1-8370-6ecc090dd388";"159.998 - Zona Las Horquetas,";246699170;8600;NA;2020-06-17;NA;NA;NA;880000;NA;NA;"Se VENDEN 88 Hectáreas en Zona Las HorquetasAysén Documentación al díaTodo regularizado e inscriptoIDEAL INVERSIONISTAS";"Prestige Propiedades";-72.4561474;-46.8017148;2020-07-11;"venta";"sitio";"Aysén"
"aysen-aysen";"https://www.portalinmobiliario.com/venta/sitio/aysen-aysen/5620513-puerto-chacabuco-100-uda#position=8&type=item&tracking_id=6bfde9f0-c397-46c1-8370-6ecc090dd388";"Puerto Chacabuco 100,";8e+06;NA;NA;2020-05-19;NA;NA;NA;30000;NA;NA;"TERRENOS COSTA MORRO75 lotes de 3 has aprox, inmersos en Fiordo Aysén donde encontrarás terrenos frente al mar, con vista al Volcán Maca, Monumento Natural las 5 Hermanas y cercano a Termas de Ensenada Pérez y Laguna San Rafael, con importante presencia de bosque y fauna nativa.Acceso sólo por mar a 30 minutos navegando desde Puerto Chacabuco, el puerto más importante de la región de AysénTerrenos de 3 hectáreas con rol propio a:8 millones tercera línea13 millones segunda línea18 millones primera línea orilla de playa Formas de pago: - Transbank hasta 48 cuotas con tarjeta de crédito - 20% de pie (cheque o tarjeta) + 6 cuotas en cheques para primera línea, o 3 cuotas en cheques segunda y tercera línea- 5% de descuento pago contado- Trabajamos con Notaria Roberto Cifuentes en Las CondesExcelente inversión para tu futuro, rentabilidad anual en la Patagonia sobre el 10%SOLICITA LOS DOCUMENTOS PARA ESTUDIO DE TÍTULOS¡50% del proyecto vendido!Densidad Consolidación del sector: en proceso";"Bk Realty Group";-73.2864532;-45.3194695;2020-07-11;"venta";"sitio";"Aysén"
"aysen-aysen";"https://www.portalinmobiliario.com/venta/sitio/aysen-aysen/5644949-costa-morro-puerto-chacabuco-patagonia-uda#position=9&type=item&tracking_id=6bfde9f0-c397-46c1-8370-6ecc090dd388";"Costa Morro- Puerto Chacabuco- Patagonia,";8e+06;NA;NA;2020-06-03;NA;NA;NA;30000;NA;NA;"Costa Morro es un predio de lotes para personas amantes y conscientes de la naturaleza, para quienes buscan un producto único y exclusivo y para quienes saben que la Patagonia es uno de los lugares más bellos de la Tierra, donde abunda unos de los recursos más escasos: el agua.Los terrenos de Costa Morro están ubicados a 40 minutos navegando desde Puerto Chacabuco, rodeados de una inmensa vegetación y fauna nativa. Variedad de parcelas con rol propio de 3 hectáreas promedio:$8.000.000 TERCERA LÍNEA - $13.000.000 SEGUNDA LÍNEA - $18.000.000 PRIMERA LÍNEA CON ORILLA DE PLAYAFACILIDADES DE PAGO: CONTADO, CHEQUES O TARJETAS-https://www.lanube360.com/tour-fiordos/";"Abitare Propiedades";-72.847168;-45.4694557;2020-07-11;"venta";"sitio";"Aysén"
"aysen-aysen";"https://www.portalinmobiliario.com/venta/sitio/aysen-aysen/5666928-lago-roosvelt-uda#position=10&type=item&tracking_id=6bfde9f0-c397-46c1-8370-6ecc090dd388";"Lago Roosvelt,";2.7e+08;NA;NA;2020-06-16;NA;NA;NA;NA;NA;NA;"Excepcional propiedad con 1,2 kms. de borde de lago Roosevelt, y 286 hectáreas en total, rodeada de una indescriptible belleza y tranquilidad. El lugar está rodeado de rutas escénicas de bosques siempre verdes, ríos, cascadas y nieve eterna.Ésta propiedad es apta para inversiones turísticas, ya que mantiene un estado natural de conservación con poca intervención humana a lo largo del tiempo con espacios prístinos, rodeado de selva virgen y montañas solitarias y remotas.La propiedad tiene un potencial sin explotar de bosques y aguas. Ofrece lugares incomparables para la pesca (prueba de esto es la existencia del turismo de pesca en la zona), fotografía y Trekking.En cuanto a la fauna, se puede contar con zorros, pumas, jabalíes, pudus y otras especies menores, es común ver aves como el colibrí, el martín pescador, el cóndor, el chucao, la tagua y el pájaro carpintero. Las especies hidrobiológicas más comunes son la trucha marrón y la trucha arco iris en cantidades más pequeñas, así como los anfibios y pequeños reptiles.La flora es típica de la selva valdiviana, grandes árboles de maderas preciosas, como Coigüe, Tepa, Canelo y Arrayán. También hay una gran cantidad de coligue y arbustos menores";"Alto Andes Propiedades";-72.4813066;-45.0048597;2020-07-11;"venta";"sitio";"Aysén"
