"barrio";"dir_url";"nombre";"precio";"precio_uf";"codigo";"fecha_publicacion";"dorm";"banos";"sup";"sup_total";"descripcion";"equipamiento";"vende";"fecha_consulta";"venta_arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4617610-avenida-holanda-3545-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=16";"Avenida Holanda 3545";9.5e+07;3448.27;"Código: 4617610 ";2019-02-21;2;2;50;50;"
                                            Departamento con excelente ubicación, a dos cuadras del metro Chile España, completamente remodelado , cocina equipada, gastos comunes de 50.000.Estacionamiento Propio Vende directamente su dueño";"Servicios :&nbsp&nbspNoCocina :&nbsp Amoblada, EquipadaPortón automático, Portero eléctrico";NA;2019-03-02;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4518915-plaza-nunoa-irarrazabal-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=17";"Plaza Ñuñoa // Irarrazabal";105274888;3820;"Código: 4518915 ";2019-01-04;2;1;68;88;"
                                            Oportunidad!!! Departamento a pasos del metro  // Sur - Poniente //  Ideal para pareja Rodeado de comercio, buena  conectividad y plazas // Living - comedor con salida a terraza // cocina con posibilidad de integrar//  2 dormitorios que salen a gran terraza con vista panorámica  //1 baño // piscina // sala de eventos // 1 bodega //Estacionamiento visitaSin estacionamiento.Gastos Comunes bajos $79.000-Características comunidadaccesos controlados, estacionamiento de visitas, piscina, sala de eventosGastosGastos comunes: $ 79.000";"Servicios :&nbsp&nbspNoPiscina";NA;2019-03-02;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4556532-los-leones-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=18";"Los Leones";109684307;3980;"Código: 4556532 ";2019-01-21;1;1;34;44;"
                                            SIN COMISIÓN. Exclusivo departamento nuevo ubicado en la comuna de Ñuñoa. 1 dormitorio en suite con amplia terraza, excelencia terminaciones. Se encuentra inmerso en un barrio clásico cercano a universidades, restaurantes, supermercados, colegios y mucho más.  Opción de comprar una bodega y estacionamiento.   ÁREAS COMUNES Cinebar, Piscina, Quincho Panorámico y en jardín, Gimnasio. Vende Propiedades Alejandro Jaime V. Coordinar al 2 2730 4000. www.propiedades.cl/38692
                                        ";NA;NA;2019-03-02;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4608897-irarrazaval-5353-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=19";"irarrazaval 5353";119881089;4350;"Código: 4608897 ";2019-02-18;2;2;46;55;"
                                            Hermoso e iluminado departamento en piso 25....Tu oportunidad de vivir en Ñuñoa a un precio espectacular !!!agenda tu visita !";NA;NA;2019-03-02;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4596132-jorge-washington-482-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=20";"Jorge Washington 482";126770807;4600;"Código: 4596132 ";2019-02-10;2;2;60;60;"
                                            vende corredora.Oportunidad de Inversión!! Bello departamento, construido el año 1995, muy bien mantenido, de dos dormitorios (uno en suite) y dos baños completos ubicado en tranquila calle de Ñuñoa a pasos de Plaza Ñuñoa, estación de Metro Chile-España, Campus Oriente (UC) y Comercios. El departamento se encuentra en un quinto piso y posee orientación Sur.Conserjería 24/7.Cuenta con ESTACIONAMIENTO. Único Dueño. Se aceptan ofertas. Contribuciones: $ 35.000.-Gastos Comunes: $ 55.000.- Para agendar visitas, contactarse con:María Ignacia Varas. +569 67896712Corredora de Propiedades.
                                        ";"Servicios :&nbsp&nbspNoServicios adicionales :&nbsp LoggiaCocina :&nbsp AmobladaPortero eléctrico";"Contacto: Maria Ignacia Varas Abufhele";2019-03-02;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4626764-brown-norte-irarrazabal-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=21";"Brown Norte / Irarrazabal";129526694;4700;"Código: 4626764 ";2019-02-27;2;2;75;75;"
                                            Excelente ubicación Corazón de Ñuñoa   pasos metro Chile España,  impecable, 75 metros, dos dormitorios dos baños, vista Norponiente, living comedor , cocina amoblada, loggia, terraza, estacionamiento,  calefacción central  ( Constructora imagina) piscina, sala de Juegos,jacuzzi,  pasos Plaza Ñuñoa,TerminacionesPiso baños: baldosaCaracterísticas propiedadloggia, cocina amoblada, portón automáticoCaracterísticas comunidadaccesos controlados, circuito cerrado de tv, citófono, estacionamiento de visitas, portón eléctrico, quinchoEstacionamientos y bodegas Estacionamientos: 1";"Servicios :&nbsp&nbspNoServicios adicionales :&nbsp LoggiaCocina :&nbsp AmobladaPortón automático, Portero eléctrico";NA;2019-03-02;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4588150-suecia-irarrazaval-metro-chileespana-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=22";"SUECIA / IRARRAZAVAL METRO CHILE-ESPAÑA";137794356;5000;"Código: 4588150 ";2019-02-06;2;2;70;76;"
                                            Impecable departamento, vista sur totalmente despejada en piso 7. Muy iluminado. Su distribución consta de living - comedor, cocina aparte amoblada y equipada y con comedor de diario, logia con conexión a lavadora, 2 amplios dormitorios con closets y dos baños completos. Incluye estacionamiento subterráneo y bodega. Gasto común $120.000 aprox. (agua caliente incluida)  Contribuciones $55.000.  Se ubica en condominio que cuenta con control de acceso las 24 horas y cuenta con piscina, gimnasio, estacionamiento de visitas, sala multiuso. Propiedad muy bien cuidada por su actual dueña. La ubicación de la propiedad es estratégica pues está a pasos del metro estación Chile España, bancos, colegios, centros comerciales, supermercado, etc.TerminacionesPiso baños: cerámicaPiso dormitorios: alfombraSuministrosAgua caliente: calderaCaracterísticas propiedadcomedor de diario, loggia, cocina amoblada, cocina equipada, portón automáticoCaracterísticas comunidadaccesos controlados, áreas verdes, circuito cerrado de tv, citófono, estacionamiento de visitas, gimnasio, juegos infantiles, piscina, portón eléctrico, quincho, sala de eventos, saunaGastosContribuciones: $ 55.000Gastos comunes: $ 120.000Estacionamientos y bodegas Estacionamientos: 1Bodegas: 1";"Servicios :&nbsp&nbspNoServicios adicionales :&nbsp LoggiaCocina :&nbsp Amoblada, Equipada, Comedor de diarioPiscina, Portón automático, Portero eléctrico";NA;2019-03-02;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4558951-general-jose-artigas-los-leones-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=23";"General José Artigas - Los Leones";139172299;5050;"Código: 4558951 ";2019-01-22;1;2;45;67;"
                                            SIN COMISIÓN. Exclusivo departamento nuevo ubicado en la comuna de Ñuñoa. Es de un dormitorio en suite y medio dormitorio más, con amplia terraza, excelente terminaciones. Opción de comprar una bodega y estacionamiento. ÁREAS COMUNES. Piscina, Quincho Panorámico y en jardín, Gimnasio. Se encuentra inmerso en un barrio clásico cercano a universidades, restaurantes, supermercados, colegios y muy buena conectividad. VENDE PROPIEDADES ALEJANDRO JAIME V. 2 2730 4000.
                                        ";NA;NA;2019-03-02;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4607784-regina-pacis-nunoa-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=24";"Regina Pacis, Ñuñoa";140550243;5100;"Código: 4607784 ";2019-02-16;2;2;63;75;"
                                            Trébol Propiedades vende cómodo departamento en Ñuñoa, frente a Campus Oriente. Cuenta con 2 amplias habitaciones y 2 baños.Orientación norponiente. Piso 13Edificio cuenta con sala de eventos, lavado, piscina, gimnasio, calefacción central, conserje 24 hrs.Gastos comunes: $100.000Incluye estacionamiento subterráneo y bodega.Cercano a Metro Chile España
                                        ";"Servicios :&nbsp&nbspNoDistribución :&nbsp Baño de visitasServicios adicionales :&nbsp Loggia, DespensaCocina :&nbsp EquipadaTerraza, Bodega, Rejas ventana, Portón automático, Portero eléctrico";"Contacto: Francisca Briano L";2019-03-02;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4620589-duble-almeyda-entre-los-3-antonios-y-exequiel-fernandez-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=25";"Dublé Almeyda entre Los 3 Antonios y Exequiel Fernandez";143306130;5200;"Código: 4620589 ";2019-02-24;2;2;78;118;"
                                            Vendo departamento remodelado, calle Dublé Almeyda a 2 cuadras metro estación Ñuñoa, tiene estacionamiento de superficie, bodega y patio exclusivo de 40 mt2. Muy seguro con conserje. Cocina con muebles nuevos. 2 dormitorios, 2 baños de buen tamaño, living-comedor y loggia
                                        ";"Servicios :&nbsp&nbspNoServicios adicionales :&nbsp LoggiaCocina :&nbsp EquipadaBodega";"Contacto: Patricia Reveco";2019-03-02;"venta"
