"barrio";"dir_url";"nombre";"precio";"precio_uf";"codigo";"fecha_publicacion";"dorm";"banos";"sup";"sup_total";"descripcion";"equipamiento";"vende";"fecha_consulta";"venta_arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4573052-irarrazaval-2931-departamento-506-b-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=0";"Irarrázaval 2931 - Departamento 506 B";385824;14;"Código: 4573052 ";2019-01-29;1;1;37;41;"
                                            Arriendo departamento en excelente estado de 1 dormitorio, living,cocina americana,1 baño con espacio para lavadora,terraza, bodega y estacionamiento. tiene orientación poniente en 5°piso.el edificio cuenta con piscina,sala multiuso,gimnasio,quincho panorámico,lavandería. esta ubicado a pasos de nueva linea 3 (estación Chile España)
                                        ";"Servicios :&nbsp&nbspSiTerraza, Bodega, Piscina";"Contacto: Paola Andrea Maturana Márquez";2019-03-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4625292-holanda-casi-al-llegar-a-irarrazaval-a-pasos-metro-chileespana-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=1";"Holanda casi al llegar a Irarrázaval, a pasos Metro Chile-España";4e+05;14.52;"Código: 4625292 ";2019-02-26;1;1;50;55;"
                                            Departamento en 3er. piso, en muy buen estado, a pasos de linea 3 del Metro. Estar, 1 Dormitorio, 1 Baño, Cocina separada, terraza y pequeña logia. Además tiene Bodega y Estacionamiento. Conserje las 24 horas. Cerca de supermercado, comercio y restaurantes.
                                        ";"Servicios :&nbsp&nbspSiServicios adicionales :&nbsp LoggiaCocina :&nbsp AmobladaBodega";"Contacto: Ivàn Figueroa";2019-03-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4619463-avenida-simon-bolivar-3190-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=2";"Avenida Simón Bolívar 3190";420000;15.24;"Código: 4619463 ";2019-02-22;2;2;67;70;"
                                            Excelente depto., muy buena ubicación, incluye 1 estacionamiento y 1 bodega. Distribución: Hall, living comedor de buen tamaño, terraza, cocina amoblada, loggia con lavadero, 2 dormitorios y 2 baños. Cómodo dormitorio principal, en suite, con walking closet y terraza. Orientación nororiente. El edificio posee piscina, quincho, sala de eventos, lavandería y estacionamientos de visitas. DISPONIBLE A PARTIR DEL 1 DE MAYO DE 2019.
                                        ";"Servicios :&nbsp&nbspNoDistribución :&nbsp Hall, EstarServicios adicionales :&nbsp LoggiaCocina :&nbsp Amoblada, EquipadaTerraza, Bodega, Piscina, Portón automático, Portero eléctrico";"Contacto: Rodrigo Poblete";2019-03-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4584632-brown-norte-518-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=3";"Brown Norte 518";550000;19.96;"Código: 4584632 ";2019-02-04;3;2;83;93;"
                                            La tranquilidad y calidad de vida que ofrece Ñuñoa es innegable, este departamento con su privilegiada ubicación permite acceder a una vida que parecía condenada a desaparecer, una vida de barrio, con todo cerca, en una calle tranquila y arbolada. A pocos minutos de Plaza Ñuñoa en donde  combinan los gustos por las gastronomía, cultura, teatro, juegos infantiles y la vida de barrio antiguo. Características Hall de entrada, amplio living comedor, terraza  ( Norte, vista despejada) , Tres dormitorios dos de ellos de buen tamaño y un tercero mas pequeño, 2 baños completos, cocina cerrada con loggia.Estacionamiento y BodegaGatos Comunes $90.000GastosContribuciones: $ 70.000Gastos comunes: $ 90.000Estacionamientos y bodegas Estacionamientos: 1Bodegas: 1";NA;NA;2019-03-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4632747-irarrazaval-ortuzar-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=4";"Irarrázaval, Ortúzar";350000;12.7;"Código: 4632747 ";2019-03-01;1;1;34;37;"
                                            Departamento en excelente ubicación a 1 cuadra de nueva línea 3 de metro; cercano a supermercado y comercio en general.CARACTERÍSTICAS- 34/37 m2- 1 Dormitorio en suite- Cocina americana- Balcón- Bodega- Sin estacionamiento, con posibilidades de arrendarOTROS- Piso 15- Gastos comunes $45.000 aprox.- Orientación sur- Piso Flotante- Conexión para lavadora en el baño- AlarmaCARACTERÍSTICAS DEL EDIFICIOEdificio del año 2016, 3 ascensores; equipado con piscina panorámica, quincho, gimnasio, sala de eventos, conserjería 24/7CONTACTOVerónica Delgado Y#43;569 93216754 oficina 222045011Schumacher Propiedades";NA;NA;2019-03-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4624136-jose-pedro-alessandri-61-departamento-910-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=5";"José Pedro Alessandri 61 - Departamento 910";350000;12.7;"Código: 4624136 ";2019-02-26;1;1;40;40;"
                                            MODERNO DEPARTAMENTO !!, EDIFICIO SMARTLIFEUBICADO A MEDIA CUADRA DE ESTACIÓN CHILE ESPAÑA Y A DOS CUADRAS DE LA PLAZA ÑUÑOA, DEPARTAMENTO EN PISO 9, CUENTA CON 1 DORMITORIO, 1 BAÑO, TERRAZA, INSTALACIÓN DE LAVADORA, COCINA AMERICANA EQUIPADA CON HORNO, ENCIMERA, CAMPANA ELÉCTRICA, MICROONDAS Y REFRIGERADOR.No cuenta con Estacionamiento ni bodegaCARACTERÍSTICAS DEL EDIFICIO:HALL DE ACCESO DE DOBLE ALTURA GIMNASIO SALA MULTIUSOLAVANDERÍA EQUIPADA2 TERRAZAS PANORÁMICAS CON PISCINATERRAZA CON QUINCHO EN PISO 8ACCESOS CONTROLADOS LAS 24 HRS.DISPONIBILIDAD MARZO 2019Características propiedadcocina americana, cocina equipadaCaracterísticas comunidadaccesos controlados, áreas verdes, gimnasio, piscina, quincho, sala de eventos";"Servicios :&nbsp&nbspNoCocina :&nbsp EquipadaPiscina";NA;2019-03-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4610667-jorge-washington-520-departamento-707-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=6";"Jorge Washington  520 - Departamento 707";360000;13.07;"Código: 4610667 ";2019-02-18;1;1;34;34;"
                                            TerminacionesPiso baños: cerámicaPiso dormitorios: piso flotanteSuministrosAgua caliente: termoCaracterísticas comunidadaccesos controlados, citófono, portón eléctricoGastosGastos comunes: $ 65.000Estacionamientos y bodegas Estacionamientos: 1Bodegas: 1";"Servicios :&nbsp&nbspNoPortero eléctrico";NA;2019-03-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4605010-espronceda-440-con-campo-amor-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=7";"Espronceda 440 con campo amor";360000;13.07;"Código: 4605010 ";2019-02-14;1;1;40;48;"
                                            Hermoso departamento de 1 dormitorio, walking closet, 1 baño, living comedor con salida a terraza,cocina americana amplia, y comodas, cubiertas de granito, isla central ´mesa con taburetes, estacionamiento, bodega, el edificio cuenta con piscina, ubicado cerca del metro Chile España, comercios, bancos, colegios. Contacto Edgardo Garcés C. fono:9 9318 8334, correo: egarces@propiedades.cl
                                        ";NA;NA;2019-03-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4591562-metro-chile-espana-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=8";"Metro Chile España";370000;13.43;"Código: 4591562 ";2019-02-07;1;1;40;40;"
                                            Luminoso departamento con orientación norte, en edificio con hermosa arquitectura y bellas terminaciones.Con excelente locomoción y a pasos de la nueva estación de Metro Chile España. Cercano a Plaza Ñuñoa, supermercados, restaurantes, farmacias, bancos, colegios y a todo lo necesario para disfrutar de un buen vivir.El departamento posee 01 dormitorio, 01 baño y cocina amoblada equipada con encimera, además de un ampio balcón frente a living y dormitorio.Los espacios comunes incluyen una piscina, gimnasio, areas verdes, quinchos y sala de eventos.Gastos comunes: $90.000 aprox, esto incluyendo el agua caliente.Datos de superficie aproximados.No dejes de visitar!Para mayor información contactar corredor: +569 7999 7513.Estacionamientos: 01Bodegas: 01
                                        ";"Servicios :&nbsp&nbspNoCocina :&nbsp AmobladaBodega, Piscina";NA;2019-03-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4584287-gerona-holanda-a-2-cuadras-de-irarrazabal-metro-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=9";"GERONA  / HOLANDA A 2 CUADRAS DE IRARRAZABAL - METRO";380000;13.79;"Código: 4584287 ";2019-02-04;1;1;35;37;"
                                            Lindo depto. en un 4º piso consta de Living-comedor  con salida a terraza , cocina americana amoblada y equipada con cocina encimera , horno , campana , closet para lavadora de ropa , 1 dormitorio en suite con baño ,  closet , estacionamiento y bodega.El depto. esta en muy buenas condiciones de mantención ,  tiene piso flotante y alfombra en el dormitorio , ventanas termopanel , 35 metros aprox. más terraza , Orientación Oriente.  Disponibilidad inmediata.El edificio tiene piscina , gimnasio , sala de internet , quincho , estacionamientos para visitas.   Llamar para coordinar visita al +569 95376191 o mandar mail a marisol.moralesb@hotmail.com.  Se muestra el miércoles 27 de febrero a las 19.00 horas.Estacionamientos y bodegas Estacionamientos: 1Bodegas: 1";NA;NA;2019-03-02;"arriendo"
