"barrio";"dir_url";"nombre";"precio";"precio_uf";"codigo";"fecha_publicacion";"dorm";"banos";"sup";"sup_total";"descripcion";"equipamiento";"vende";"fecha_consulta";"venta_arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4909274-irarrazaval-2931-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=0";"Irarrázaval 2931";350000;12.55;"Código: 4909274 ";2019-06-29;1;1;35;37;"
                                            Inmejorable Ubicación! A sólo dos cuadras de Metro Chile España. Amplio departamento con hermosa vista despejada cuenta con living comedor con salida a balcón, cocina americana con encimera, horno eléctrico y campana, con muy buenos muebles de cocina. Dormitorio con baño en suite y muy buen closet. Conexión a lavadora. Todo el departamento con piso flotante. CUENTA CON BODEGA Y ESTACIONAMIENTO. El edificio cuenta con gimnasio, lavandería, juego de niños, quincho, sala de eventos y piscina. Cercano a centros comerciales, supermercados, excelente conectividad.Requisitos para arrendar: 3 últimas liquidaciones, renta líquida mínima 3 veces monto del arriendo, Dicom Platinum, contrato laboral indefinido, 12 últimas cotizaciones de AFP, se debe documentar año completo con cheques. Un mes de garantía, comisión 50% primer mes de arriendo.TerminacionesPiso dormitorios: piso flotanteSuministrosAgua caliente: calderaCaracterísticas propiedadcocina americana, cocina amoblada, cocina equipadaCaracterísticas comunidadaccesos controlados, áreas verdes, circuito cerrado de tv, citófono, estacionamiento de visitas, gimnasio, juegos infantiles, piscina, quincho, sala de eventosGastosGastos comunes: $ 65.000Estacionamientos y bodegas Estacionamientos: 1Bodegas: 1";"Servicios :&nbsp&nbspNoCocina :&nbsp Amoblada, EquipadaPiscina";NA;2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4851585-metro-chile-espana-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=1";"METRO CHILE ESPAÑA";380000;13.64;"Código: 4851585 ";2019-06-04;1;1;43;45;"
                                            Se arrienda departamento de 2 ambientes (un dormitorio con baño en suite, sala de estar con cocina americana) y un estacionamiento. Piso 3, orientación norte. Gastos comunes entre 55.000 y 70.000 (en invierno varía dependiendo del consumo individual de calefacción centralizada). Cuenta con espacio para instalación de lavadora en el baño (última foto).Excelentes áreas comunes: lounge/sala de eventos, sala de cine, quincho en piso 15, fogón en piso 1 frente al lounge, gimnasio, piscina.Ubicado a una cuadra del metro Chile España, pasos de Plaza Ñuñoa e Irarrazaval. Disponibilidad: inmediata.Requisitos arriendo: - renta mínima 3 veces el arriendo - últimas 6 liquidaciones - últimas 12 cotizaciones - certificado Dicom - aval con los mismos requisitos - mes de garantía
                                        ";"Servicios :&nbsp&nbspNoPiscina";"Contacto: Claudia - Luis Galdames";2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4899647-bustamante-743-departamento-1101-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=2";"Bustamante 743 - Departamento 1101";450000;16.14;"Código: 4899647 ";NA;1;1;41;43;"
                                            Se arrienda departamento totalmente amoblado y equipado con todas las comodidades, llegar y habitarEl departamento cuenta con estacionamiento, cocina totalmente equipada, con línea blanca completa, incluye TV cable instalado, televisor Led, WiFi, Cama y ropa de Cama, futon y todos los muebles..Edificio con Piscina, quinchos, gimnasio, lavandería, sala de eventos etc.Ubicado en Ñuñoa, a media cuadra de metro Irarrazabal.solicite su visit con el corredor de propiedades.Requisitos:Ultimas 3 liquidaciones de sueldo, certificado de cotizaciones de AFP y  copia de la cédula de identidad.Se solicita una renta mínima de $1.200.000, ";"Servicios :&nbsp&nbspSiCocina :&nbsp Amoblada, EquipadaTV cable, Terraza, Persianas, Piscina, Portón automático, Portero eléctrico";"Contacto: Cristian Avila";2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4897408-sector-metro-chile-espana-irarrazaval-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=3";"Sector Metro Chile- España- Irarrazaval";450000;16.15;"Código: 4897408 ";2019-06-24;2;2;55;55;"
                                            DISPONIBLE 1de Julio* SECTOR J. PEDRO ALESSANDRI- Metro Chile España* Precio de arriendo: $ 450.000* Descripción: Dos dormitorios+ dos baños ( estacionamiento y bodega)Detalle:* Living-comedor con salida a terraza* Cocina americana* Orientación norte y tercer piso* Dos dormitorios ( segundo dormitorios entran dos camas de 1 palza o cama 1/2 ) * Dos baños* Gastos comunes $ 94.000 aprox* Cocina americana* Dos terrazasAreas comunes:* Piscina* Gym* LavanderiaInteresados enviar al correo* Nombre* Rut* Celular
                                        ";"Servicios :&nbsp&nbspNoDistribución :&nbsp HallTerraza, Bodega, Piscina";NA;2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4872335-profesor-rodolfo-lenz-nunoa-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=4";"Profesor Rodolfo Lenz, Ñuñoa";460000;16.5;"Código: 4872335 ";2019-06-13;2;2;68;74;"
                                            *ARRIENDA SU DUEÑO SIN COMISIÓN*Departamento en arriendo en quinto piso, dos dormitorios, dos baños completos, gran terraza, se incluyen lámparas, orientación poniente, edificio año 2009 ubicado en calle Rodolfo Lenz, a pasos de Plaza Ñuñoa, metro Chile España, sin estacionamiento (sólo visitas), con bodega.Requisitos:- Informe Dicom- Antigüedad laboral mínima un año- 12 últimas cotizaciones AFP- Documentar primer año con cheque- Mes de garantía- Renta mínima 3 veces el canon de arriendo- Sin aval
                                        ";"Servicios :&nbsp&nbspNoDistribución :&nbsp EstarServicios adicionales :&nbsp Loggia, DespensaCocina :&nbsp AmobladaAlarma, Terraza, Bodega, Piscina, Portón automático, Portero eléctrico";"Contacto: Salvador Gallardo";2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4909223-jorge-washington-482-departamento-502-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=5";"Jorge Washington 482 - Departamento 502";5e+05;17.93;"Código: 4909223 ";2019-06-28;2;2;62;64;"
                                            Hermoso  Dpto. en Jorge Washington/ Simón Bolívar, 62 M.Dpto. recién remodelado, ubicado en un 5° piso, con vista Norte-SurConsta de 2 dormitorios, 2 baños, cocina amoblada amplia, y estacionamiento.El edificio consta de lavandería y jardines.Excelente conectividad, a cuadra de Simón Bolívar y a 3 cuadras de Irarrázaval. Metro estación Chile-España a 5 cuadras.Vida de barrio, con una gran variedad de restaurantes de buen nivel gastronómico. Teatro UC y Café librería frente a Plaza Ñuñoa.Comercio de barrio en Irarrázaval.Gasto común $ 55.000Conserjería 24 horas.Contacto Gloria cel 998262373  fijo: 222238753";"Servicios :&nbsp&nbspSiServicios adicionales :&nbsp LoggiaCocina :&nbsp Amoblada";"Contacto: Gloria Miranda Torrejón";2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/providencia-metropolitana/4902413-doctor-pedro-lautaro-ferrer-3322-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=6";"Doctor Pedro Lautaro Ferrer 3322";570000;20.44;"Código: 4902413 ";2019-06-26;1;2;107;107;"
                                            AMPLIO LOFT, ESTILO TOWNHOUSEPrimer nivel: Cuenta con estacionamiento y bodega, patio con quincho y acceso a departamento. Segundo nivel: Cuenta con living con salida a terraza, amplia cocina equipada con cocina encimera, horno y campana, logia. Tercer nivel: cuenta con dormitorio en suite, walking closet, baño de visitas y terraza.Departamento en inmejorable ubicación, control de acceso las 24 horas, excelente conectividad.REQUISITOS ARRIENDO:-Contrato de trabajo-3 ultimas liquidaciones de sueldo (valor debe triplicar canon de arriendo)-12 ultimas cotizaciones de AFP-Certificado que acredite no presentar deuda en sistema comercial-Acreditar cuenta corriente-Cédula de Identidad-Codeudor Solidario";"Servicios :&nbsp&nbspNoDistribución :&nbsp Baño de visitasServicios adicionales :&nbsp LoggiaCocina :&nbsp Amoblada, EquipadaAlarma, Terraza, Bodega, Persianas, Portón automático, Portero eléctrico";"Contacto: Propiedades Dm Spa";2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4869429-manuel-de-salas-nunoa-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=7";"Manuel de Salas, Ñuñoa";609000;21.91;"Código: 4869429 ";2019-06-11;3;2;104;114;"
                                            Se arrienda bello y amplio departamento con vista despejada (y asegurada) a la cordillera, orientación sur-oriente. Con amplia terraza en quinto piso con ascensor, Gastos comunes de $100.000 aprox (no sube en invierno) Edificio cuenta con sala multiuso, gimnasio, pergola (amplio jardín), acceso vehicular y peatonal por calles Jorge Washington y Manuel de Salas . Cuenta con estacionamiento subterráneo y amplia bodega. cercano de metro Chile- España. Disponibilidad desde 28 de junio
                                        ";"Servicios :&nbsp&nbspNoDistribución :&nbsp Baño de visitasCocina :&nbsp AmobladaTeléfono, Bodega";"Contacto: Hellen Mac Phail";2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4908257-arriendo-departamento-brown-norte-casi-esquina-simon-bolivar-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=8";"Arriendo departamento Brown Norte Casi esquina Simón Bolivar";690000;24.73;"Código: 4908257 ";2019-06-28;3;2;85;93;"
                                            La propiedad se encuentra en barrio residencial,con conectividad a transporte público, supermercados, restaurantes, colegios, comercio.Ubicado en tercer  piso, cuenta con hall de entrada, cocina separada, living, comedor con salida a terraza , 3 dormitorios, 2 baños, principal en suite, también tiene dentro de su distribución (se adjunta plano en las fotos) sala de estar y loggia. Incluye estacionamiento. El edificio cuenta con  piscina, área verdes y sala multiuso.Gastos comunes apróx: $100.000.-  Consultas y programar tu visita con Daniela Pezoa Z. al whatssap +56 9 98714011TerminacionesPiso baños: porcelanatoSuministrosAgua caliente: central agua calienteCaracterísticas propiedadalarma, hall, loggia, sala de estar, cocina amoblada, cocina equipada, portón automáticoCaracterísticas comunidadaccesos controlados, áreas verdes, circuito cerrado de tv, citófono, estacionamiento de visitas, gimnasio, piscina, portón eléctrico, sala de eventosGastosGastos comunes: $ 100.000Estacionamientos y bodegas Estacionamientos: 1Bodegas: 1";"Servicios :&nbsp&nbspNoDistribución :&nbsp HallServicios adicionales :&nbsp LoggiaCocina :&nbsp Amoblada, EquipadaAlarma, Piscina, Portón automático, Portero eléctrico";NA;2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/providencia-metropolitana/4853726-doctor-pedro-lautaro-ferrer-3322-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=9";"Doctor Pedro Lautaro Ferrer 3322";697861;25;"Código: 4853726 ";2019-06-04;1;2;70;114;"
                                            OPORTUNIDAD ARRIENDO DUPLEX + AZOTEA (NUEVO)Privilegada ubicacion en sector de edificios residenciales de baja altura, calles tranquilas y arboladas ideales para caminar o deporte. Cercano a plazas, locales comerciales y restaurantes. Piso principal (5to) cuenta con amplio living comedor, cocina americana equipada con campana, horno eléctrico y encimera vitroceramica, cubierta de granito y espacio para lav/sec. Piso Inferior (4to) se encuentra baño de visitas, amplia habitación en suite con walk in closet.  Terraza a lo largo de ambos pisos. Piso superior (6to) se encuentra azotea privada. Ambientes espaciosos y con doble altura, calefacción a radiadores, pisos de porcelanato, ventanales con termopanel y cortinas roller. 1 estacionamiento + bodega. Bicicletero Edf. GC aprox $210-230 mil.";"Servicios :&nbsp&nbspNoDistribución :&nbsp Baño de visitasAlarma, Terraza, Bodega, Persianas, Portón automático, Portero eléctrico";"Contacto: Valeria Naylor";2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4879824-hernan-cortes-3030-departamento-134-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=10";"Hernán Cortés 3030 - Departamento 134";7e+05;25.15;"Código: 4879824 ";NA;2;2;75;80;"
                                            Hermoso departamento semi nuevo, el excelente ubicación, finas terminaciones, disponible desde el 1 de julio. Departamento cuenta con 2 dormitorios, 2 baños, 2 terrazas amplias, cocina equipada con horno eléctrico, horno microondas, campana, refrigerador, logia con lavadora y secadora nueva, Ventanales de termopal con cortinas, todo el departamento con lámparas.Edificio cuenta con piscina y quincho panorámico, sala de eventos y sala de reuniones. seguridad 24 horas.
                                        ";"Servicios :&nbsp&nbspNoDistribución :&nbsp Hall, Baño de visitasServicios adicionales :&nbsp LoggiaCocina :&nbsp Amoblada, EquipadaAlarma, Terraza, Bodega, Piscina, Portón automático, Portero eléctrico";"Contacto: Carolina Francesca Pino Torneria Prop";2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4725416-jose-pedro-alessandrilas-encinas-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=11";"josé pedro Alessandri/las encinas";3e+05;10.8;"Código: 4725416 ";2019-04-10;1;NA;50;NA;"
                                            Departamento estudio (NO TIENE DORMITORIO),50 mts cuadrados, terraza,cocina, eléctrica,estacionamiento.piscina, quincho, sala de eventos, conserje.  Valor de gastos comunes: $75.000.-
                                        ";NA;NA;2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4877114-enrique-bravo-3647-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=12";"ENRIQUE BRAVO 3647";320000;11.5;"Código: 4877114 ";2019-06-14;1;1;42;42;"
                                            Se arrienda departamento  Cerca de Plaza Ñuñoa :Recinto privado en pasaje Estar -Comedor 1 Dormitorio con closet1 Baño Cocina -Logia  instalación para lavadora Gastos Comunes aprox $40.000.- ";NA;NA;2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4820752-exequiel-fernandez-duble-almeyda-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=13";"Exequiel Fernández / Duble Almeyda";340000;12.26;"Código: 4820752 ";2019-05-23;1;1;40;40;"
                                            Excelente departamento ubicado en Exequiel Fernández, entre Irarrázaval y Duble Almeyda. Recivos, dormitorio en suite, terraza, estacionamiento y bodega.Características propiedadcocina amoblada, portón automáticoCaracterísticas comunidadaccesos controlados, estacionamiento de visitas, portón eléctricoEstacionamientos y bodegas Estacionamientos: 1Bodegas: 1";"Servicios :&nbsp&nbspNoCocina :&nbsp AmobladaPortón automático, Portero eléctrico";NA;2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4908894-irarrazaval-suecia-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=14";"Irarrázaval, Suecia";350000;12.55;"Código: 4908894 ";2019-06-28;1;1;35;37;"
                                            Excelente conectividad, sin ruidos, linda vista al poniente, cercano a supermercados y comercio en general, metro Chile España.CARACTERÍSTICAS- 35/37 m2- 1 Dormitorio en suite- Baño con tina- Cocina americana con comedor de diario- Living con salida a balcón- Gastos comunes $ 65.000 aprox.- Estacionamiento- BodegaOTROS- Piso 18- Piso FlotanteCARACTERÍSTICAS DEL EDIFICIOEdificio de 19 pisos, año 2008, 4 ascensores; cuenta con lavandería, gimnasio, piscina, juegos para niños, quincho, sala multiuso, conserjería 24 horasCONTACTOVerónica Delgado, celular 993216754 oficina 222045011Schumacher Propiedades
                                        ";NA;NA;2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4891934-jose-domingo-canas-metro-nunoa-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=15";"Jose Domingo Cañas / metro Ñuñoa";350000;12.55;"Código: 4891934 ";2019-06-21;1;1;24;30;"
                                            Nuevo y moderno estudio con cocina americana.El edificio cuenta con terraza panorámica 360 grados, piscina al aire libre, quinchos, varios jacuzzi al aire libre , salón de spa , sala multiuso, gimnasio, lavandería, bicicletero.Esta a dos calles del metro Ñuñoa. Barrio seguro y tranquilo.Departamento cuenta con piso fotolaminado, cocina con cubierta Q-Stone , equipada con campana horno y encimera vitroceramica.Departamento cuenta con closet y amplio baño con tina. Baño con piso de porcelanato y cubiertas de mármol.Todas las ventanas con termopaneles.Cerradura de entrada al departamento con clave y huellero personalizado para mayor seguridad.
                                        ";NA;NA;2019-07-02;"arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/arriendo/departamento/nunoa-metropolitana/4883696-irarrazaval-2931-uda?tp=2&op=2&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=16";"Irarrázaval 2931";360000;12.93;"Código: 4883696 ";2019-06-18;1;1;32;34;"
                                            Lindo depto de 1 dormitorio , 1 baño, estacionamiento y bodega.El edificio cuenta con:wifi en áreas comunes4 Quinchos con 2 baños2 Salas de reunión, equipadas con TV.2 Salas Gourmet, equipadas con Refrigerador, cocina, además cuenta con 2 bañosPiscina, Gimnasio, Lavandería y Sala de Planchado.Depto:Cocina americana.Piso flotante en todo el depto.Balcón.Modernos muebles.FINANCIAMOS PARTE DE TU PAGO INICIAL ( FINANCIERA MIGRANTE)Estacionamientos y bodegas Estacionamientos: 1Bodegas: 1";NA;NA;2019-07-02;"arriendo"
