"barrio";"dir_url";"nombre";"precio";"precio_uf";"codigo";"fecha_publicacion";"dorm";"banos";"sup";"sup_total";"descripcion";"equipamiento";"vende";"fecha_consulta";"venta_arriendo"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4892010-jose-benavente-metro-chile-espana-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=17";"José Benavente / Metro Chile España";83447503;2990;"4892010 ";2019-06-21;1;1;40;41;"
                                            Excelente departamento a pasos de Metro Chile España y a pasos de Plaza Ñuñoa. Puede ser usado como oficina también / edificio mixto Segundo piso oriente , cocina americana, termo, baño remodelado, dormitorio con closets. Edificio pequeño de 3 pisos. Gasto común $20.000 ( incluye el agua)No tiene estacionamiento, varias opciones de arriendo en el sector.";NA;NA;2019-07-01;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4873084-chile-espana-irarrazaval-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=18";"Chile España, Irarrazaval";9e+07;3236.38;"4873084 ";2019-06-13;1;1;37;39;"
                                            Luminoso departamento de la Inmobiliaria Actual. Finas terminacionesA pasos del metro Irarrázaval y a cuadras de Plaza Ñuñoa, con excelente conectividad, cercano a colegios y comercio en general.CARACTERÍSTICAS- 37/39 m2- 1 Dormitorio en suite- 1 Baño- Cocina americana equipada con encimera y horno eléctrico- Terraza- Central de agua caliente y calefacción por radiadores- 1 Estacionamiento subterráneo- 1 Bodega- Por encargo del dueño, se muestra solo los día Martes a las 19;00 hrs.OTROS- Orientación Sur- Piso 11- Tiene conexión para lavadora en el baño- Gastos comunes $65.000 aprox.CARACTERÍSTICAS DEL EDIFICIOEl edificio del año 2012, equipado con piscina, sala de eventos, gimnasio, sala de cine, quincho, conserjería 24 horas, estacionamientos de visitas.CONTACTOMarcela Malebrán 569 61200456 569 40925111 oficina 222045011Schumacher Propiedades. Código 21.062
                                        ";NA;NA;2019-07-01;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4864644-regina-pacis-789-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=19";"Regina Pacis 789";1.06e+08;3814.01;"4864644 ";2019-06-10;2;1;65;68;"
                                            Se vende amplio y comodo departamento en Nuñoa, frente al campus Oriente de la Universidad Católica. Metro Chile España a 10 min caminando. Dos dormitorios, 1 baño. Amplio living comedor. Bajos Gastos comunes. 4 piso sin ascensor, SIN ESTACIONAMIENTO NI BODEGA. Con estacionamientos comunes afuera del edificio. Comision Corretaje de propiedad 2%.
                                        ";"Servicios :&nbsp&nbspNoServicios adicionales :&nbsp Loggia";"Contacto: Daniela Amestica";2019-07-01;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4671516-duble-almeyda-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=20";"Duble Almeyda";1.08e+08;3872.83;"4671516 ";2019-03-19;1;1;66;76;"
                                            Lindo departamento con 66 mts, más terraza que abarca todo el largo del departamento. Dormitorio con posilidad de ampliación, amplio living comedor. Edificio residencial con un lindo jardín, excelente ubicación cercano a las estaciones de metro Chile España y Ñuñoa, próximo a restaurantes, centros comerciales, estaciones de servicios, colegios, etc. Para mayor información, contacta a Karina Gomez (+56229935755 - karina.gomez@century21andes.cl)
                                        ";NA;NA;2019-07-01;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4579880-duble-almeyda-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=21";"Duble Almeyda";1.2e+08;4303.14;"4579880 ";2019-02-01;2;1;80;70;"
                                            Amplio departamento, ubicado a 3 cuadras del futuro metro en Macul con Irarrazaval. Tiene 2 dormitorios, 1 baño. Y una gran terraza con vista despejada que mira hacia el sur poniente. Para mayor información, contacta a Mario Véliz ((56) 2 2993 57 55 - mario.veliz@century21andes.cl)
                                        ";NA;NA;2019-07-01;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4892014-irarrazaval-plaza-nunoa-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=22";"Irarrazaval  / Plaza ñuñoa";125589888;4500;"4892014 ";2019-06-21;2;2;70;76;"
                                            Vende por trasladoDepartamento a pasos de Plaza Ñuñoa / Metro Chile España. Entrega inmediata, no tiene hipoteca, llegar y transferir. Segundo piso,  oriente 100%. Muy silencioso y agradable Cuenta con amplio living comedor / 2 dormitorios ( principal con baño en suite), segundo dormitorio con closets. 2 baños completos. Terraza de 6 m2 aprox cerrada con ventanales. Cocina amoblada, logia independiente. Se entrega con cortinas store Edificio cuenta con plazita , lavandería, piscina, conserjería 24/7 y juegos infantiles. Estacionamiento en superficie y bodega en primer nivel con estanterías. Gasto común $85.000 ( no varía en invierno) Contribuciones $60.000 app.Estacionamientos y bodegas Estacionamientos: 1Bodegas: 1";NA;NA;2019-07-01;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4854835-brown-norte-90-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=23";"Brown Norte 90";135357990;4850;"4854835 ";2019-06-05;2;2;61;72;"
                                            conserjería, cámara de vigilancia, juegos infantiles, gimnacio, piscina, sala eventos, quincho, sala de juegos, estacionamiento techado, estacionamientos de visitas, Metro línea 3
                                        ";"Servicios :&nbsp&nbspNoDistribución :&nbsp EstarCocina :&nbsp Amoblada, EquipadaAlarma, Terraza, Bodega, Piscina, Portón automático, Portero eléctrico";"Contacto: Enrique Bravo Ramirez";2019-07-01;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4901921-chile-espana-holanda-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=24";"Chile España / Holanda";146521535;5250;"4901921 ";2019-06-26;2;2;66;73;"
                                            Acogedor departamento con vista despejada, buena conectividad, cercano a colegios, supermercados, farmacias y jardín infantil7 cuadra del metro Chile España.CARACTERÍSTICAS66 / 73 m2 aproxHallLiving comedor juntos, con salida a terraza2 dormitorios (un en suite) 2 bañosCocina amoblada, con logia1 estacionamiento1 bodegaOTROSPiso 8Gastos comunes 110.000 aproxOrientación Sur orienteCARACTERÍSTICAS DEL EDIFICIOEdificio del año 2008, 14 pisos, equipado con 2 ascensores, piscina, jardines, juegos de niños, sala de evento y gimnasioCONTACTOMarcela Malebrán 961200456 - 940925111 oficina 222045011Schumacher Propiedades Cód. 22277
                                        ";"Servicios :&nbsp&nbspNoServicios adicionales :&nbsp LoggiaCocina :&nbsp AmobladaBodega, Piscina";NA;2019-07-01;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4889283-avda-eliecer-parada-avda-simon-bolivar-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=25";"Avda. Eliécer Parada / Avda. Simón Bolivar";146521535;5250;"4889283 ";2019-06-20;2;2;70;75;"
                                            2  dormitorios, 2 baños, estacionamiento y bodega.Cocina cerrada con amplias ventanas y loggia.Amplio segundo dormitorio.EscritorioConstruido año 2007, Vista Sur Poniente, segundo piso.Excelente ubicación, a una cuadra del Campus Oriente UC.Cercano a Avenidas Principales y a 5 minutos de Plaza Ñuñoa.Gasto Común $100.000Contribuciones $80.000 trimestralesComunidad cuenta con: accesos controlados 24 horas,piscina, sala de eventos, gimnasio, sala de audio, portón automático.TerminacionesPiso baños: cerámicaPiso dormitorios: alfombraSuministrosAgua caliente: central agua calienteCaracterísticas propiedadescritorio, loggia, cocina amoblada, cocina equipadaCaracterísticas comunidadgimnasio, piscina, sala de eventosGastosContribuciones: $ 85.000Gastos comunes: $ 100.000Estacionamientos y bodegas Estacionamientos: 1Bodegas: 1";"Servicios :&nbsp&nbspNoDistribución :&nbsp EscritorioServicios adicionales :&nbsp LoggiaCocina :&nbsp Amoblada, EquipadaPiscina";NA;2019-07-01;"venta"
"plaza-nunoa-santiago-metropolitana";"https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/4861843-jorge-washington-482-uda?tp=2&op=1&iug=379&ca=3&ts=1&mn=1&or=&sf=1&sp=0&at=0&i=26";"Jorge Washington 482";1.47e+08;5288.19;"4861843 ";2019-06-08;3;2;83;85;"
                                            Departamento en primer piso, ubicado a pasos de Plaza Ñuñoa, sector residencial. Excelente acceso desde cualquier punto de la Región Metropolitana a través de la red vial, por Av. Irarrázaval, Av. Pedro de Valdivia, Av. Circunvalación Américo Vespucio o a través de la red Metro por Estaciones Metro Ñuñoa (línea 6) y Estación Metro Diagonal Oriente (línea 3), o a través de la locomoción colectiva (Irarrázaval, Simón Bolívar, Chile- España). Cercano a comercio, servicios, Municipalidad de Ñuñoa, Colegios Manuel de Salas y Akros, supermercados, teatros pubs, cafés, restaurantes, sede Oriente Universidad Católica, teatro UC, cine Hoyts de la Reina, Mall Plaza Egaña, entidades financieras. Cuenta con hall de entrada, amplio living comedor. Dormitorio principal , amplio walking closet, ventanal y baño en suite. Dormitorios secundarios para cama de 1,5 plazas con closet. baño visitas completo, con tina. Cocina amoblada, Logia con instalación para lavadora . No posee estacionamiento, ni bodega.Departamento en primer Piso, orientación Norte. Piso flotante en dormitorios, living comedor y hall de distribución, cerámicos en baño, cocina y logia.Edificio año 1995, 8 pisos, 2 ascensores, conserjería 24/7, cámaras de vigilancia en los accesos, bicicletero, áreas verdes y lavandería y secadora con costo por carga.Gastos Comunes $65.000 mensuales.Contribuciones $42.000TerminacionesPiso baños: baldosín cerámicoPiso dormitorios: piso flotanteSuministrosAgua caliente: calefónCaracterísticas propiedadalarma, hall, loggia, cocina amobladaCaracterísticas comunidadaccesos controlados, circuito cerrado de tv, portón eléctrico";"Servicios :&nbsp&nbspNoDistribución :&nbsp HallServicios adicionales :&nbsp LoggiaCocina :&nbsp AmobladaAlarma, Portero eléctrico";NA;2019-07-01;"venta"
